MTU (UTC),price,gen_day_ahead,gen_intraday,gen_current,gen_actual,load_actual,load_forecast,temp_2m,cloud_cover,wind_speed_10m,shortwave_radiation,hour,day_of_week,month
2015-01-04 23:00:00,36.56,218.5,,,128.8675,11476.0075,9291.0875,3.2,44.0,15.9,0.0,23,6,1
2015-01-05 00:00:00,34.94,249.75,,,135.835,10889.99,8678.3475,3.2,70.0,16.1,0.0,0,0,1
2015-01-05 01:00:00,32.19,301.25,,,132.0,10459.727499999999,8402.5975,3.5,66.0,17.1,0.0,1,0,1
2015-01-05 02:00:00,28.05,353.0,,,101.0425,10373.2975,8309.9875,3.8,80.0,18.5,0.0,2,0,1
2015-01-05 03:00:00,28.04,381.0,,,122.875,10550.2825,8403.915,3.8,81.0,18.6,0.0,3,0,1
2015-01-05 04:00:00,34.26,371.0,,,118.10249999999999,11097.8375,8895.2775,3.9,83.0,17.9,0.0,4,0,1
2015-01-05 05:00:00,37.8,360.75,,,88.315,13000.4225,10195.17,3.8,86.0,17.1,0.0,5,0,1
2015-01-05 06:00:00,50.38,355.5,,,82.45,15443.87,12177.75,3.6,74.0,16.1,0.0,6,0,1
2015-01-05 07:00:00,50.97,361.75,,,87.645,17613.48,13849.345,3.5,61.0,15.9,0.0,7,0,1
2015-01-05 08:00:00,41.51,370.75,,,77.025,18253.2025,14578.369999999999,3.0,78.0,16.3,0.0,8,0,1
2015-01-05 09:00:00,40.46,355.5,,,92.445,18510.36,14806.372500000001,2.8,78.0,17.2,25.0,9,0,1
2015-01-05 10:00:00,42.0,295.0,,,75.97,18724.1475,14899.2625,3.1,100.0,17.1,68.0,10,0,1
2015-01-05 11:00:00,40.72,230.25,,,54.417500000000004,17578.5975,14761.9925,3.6,100.0,16.9,103.0,11,0,1
2015-01-05 12:00:00,41.92,183.75,,,38.215,18716.732500000002,14749.42,3.9,100.0,16.9,92.0,12,0,1
2015-01-05 13:00:00,42.0,168.5,,,36.8625,18949.9125,14618.8225,4.3,100.0,16.5,93.0,13,0,1
2015-01-05 14:00:00,43.1,153.5,,,41.595,18826.2475,14589.81,4.6,100.0,17.1,69.0,14,0,1
2015-01-05 15:00:00,46.7,160.0,,,37.0175,18996.572500000002,15158.615,4.7,100.0,16.9,26.0,15,0,1
2015-01-05 16:00:00,56.78,199.25,,,41.69,19272.1325,16021.865,4.7,100.0,16.2,3.0,16,0,1
2015-01-05 17:00:00,58.84,238.25,,,38.89,18341.195,15335.425,4.7,100.0,17.0,0.0,17,0,1
2015-01-05 18:00:00,49.23,264.0,,,43.1,17568.4225,14755.7475,4.5,100.0,16.6,0.0,18,0,1
2015-01-05 19:00:00,44.32,270.0,,,39.43,16884.06,13919.5375,4.3,100.0,15.7,0.0,19,0,1
2015-01-05 20:00:00,40.0,276.25,,,33.49,15950.9375,12976.0625,4.3,100.0,15.8,0.0,20,0,1
2015-01-05 21:00:00,41.78,283.75,,,32.16,14697.07,11885.7775,4.3,100.0,15.6,0.0,21,0,1
2015-01-05 22:00:00,38.6,292.75,,,33.225,13708.0525,10811.825,4.3,100.0,14.2,0.0,22,0,1
2015-01-05 23:00:00,36.9,208.5,,,29.7,12772.0825,9757.035,4.3,100.0,14.0,0.0,23,0,1
2015-01-06 00:00:00,35.04,203.25,,,29.33,12082.287499999999,9040.94,4.1,100.0,14.1,0.0,0,1,1
2015-01-06 01:00:00,34.5,214.25,,,23.7625,11748.465,8692.68,3.9,100.0,14.0,0.0,1,1,1
2015-01-06 02:00:00,33.47,225.5,,,24.067500000000003,11644.432499999999,8541.91,3.7,99.0,13.4,0.0,2,1,1
2015-01-06 03:00:00,33.97,243.5,,,26.095,11709.085,8589.675,3.3,100.0,14.1,0.0,3,1,1
2015-01-06 04:00:00,36.02,271.5,,,38.9825,12059.84,9023.182499999999,2.9,98.0,14.9,0.0,4,1,1
2015-01-06 05:00:00,39.96,300.5,,,42.5775,13425.4875,10256.21,2.4,95.0,15.2,0.0,5,1,1
2015-01-06 06:00:00,42.66,320.75,,,39.27,15996.825,12190.415,1.7,99.0,14.6,0.0,6,1,1
2015-01-06 07:00:00,44.94,323.75,,,37.3275,18095.185,13805.425,1.2,97.0,15.0,0.0,7,1,1
2015-01-06 08:00:00,50.87,329.75,,,52.712500000000006,18584.9025,14447.3925,0.7,97.0,15.2,0.0,8,1,1
2015-01-06 09:00:00,50.86,326.5,,,61.7525,18622.34,14659.5225,0.7,94.0,15.9,29.0,9,1,1
2015-01-06 10:00:00,50.17,301.5,,,38.65,18387.002500000002,14666.4975,1.1,92.0,15.7,90.0,10,1,1
2015-01-06 11:00:00,47.97,266.25,,,36.9625,18311.5675,14480.845000000001,1.7,96.0,15.8,142.0,11,1,1
2015-01-06 12:00:00,45.2,251.75,,,39.34,18191.8725,14477.7,2.2,99.0,15.9,163.0,12,1,1
2015-01-06 13:00:00,41.45,280.25,,,42.6175,18526.5675,14427.6525,2.6,100.0,17.3,143.0,13,1,1
2015-01-06 14:00:00,40.08,313.5,,,52.78,18547.1025,14396.3525,3.0,100.0,18.2,102.0,14,1,1
2015-01-06 15:00:00,43.62,352.75,,,56.3275,18691.8275,14884.145,3.2,100.0,18.5,50.0,15,1,1
2015-01-06 16:00:00,48.55,400.0,,,54.22,19266.41,15845.1,3.3,100.0,19.4,8.0,16,1,1
2015-01-06 17:00:00,45.71,445.5,,,72.08,18192.807500000003,15257.5825,3.6,100.0,22.7,0.0,17,1,1
2015-01-06 18:00:00,39.94,471.25,,,76.44500000000001,17500.3125,14709.95,4.6,100.0,24.4,0.0,18,1,1
2015-01-06 19:00:00,44.94,459.5,,,84.4625,16412.245,13929.425,5.7,99.0,21.6,0.0,19,1,1
2015-01-06 20:00:00,42.51,431.0,,,100.34,15169.0975,12982.04,6.9,73.0,21.4,0.0,20,1,1
2015-01-06 21:00:00,44.0,404.5,,,90.58500000000001,14012.6175,11906.57,7.0,30.0,25.3,0.0,21,1,1
2015-01-06 22:00:00,39.94,378.5,,,95.77250000000001,13139.5725,10847.595000000001,6.6,30.0,22.0,0.0,22,1,1
2015-01-06 23:00:00,36.11,490.0,,,106.82,9596.6125,9752.83,6.1,11.0,19.2,0.0,23,1,1
2015-01-07 00:00:00,34.31,443.75,,,114.2025,8933.0975,8977.555,5.9,12.0,17.4,0.0,0,2,1
2015-01-07 01:00:00,32.55,406.5,,,88.265,8625.2625,8597.1575,5.5,12.0,16.9,0.0,1,2,1
2015-01-07 02:00:00,32.08,373.25,,,82.35,8523.8125,8437.01,5.5,10.0,16.0,0.0,2,2,1
2015-01-07 03:00:00,29.48,333.5,,,76.5825,8611.3475,8476.455,5.1,10.0,12.6,0.0,3,2,1
2015-01-07 04:00:00,34.94,281.5,,,75.5325,9098.7025,8892.125,4.5,4.0,11.2,0.0,4,2,1
2015-01-07 05:00:00,35.78,230.0,,,89.385,10602.485,10058.3925,3.9,0.0,12.4,0.0,5,2,1
2015-01-07 06:00:00,45.98,206.75,,,91.5475,13075.52,11912.9725,3.6,1.0,13.9,0.0,6,2,1
2015-01-07 07:00:00,47.91,228.0,,,117.8175,14724.235,13534.915,4.0,1.0,15.5,0.0,7,2,1
2015-01-07 08:00:00,48.91,249.25,,,133.47,15012.83,14332.2625,4.0,2.0,17.3,0.0,8,2,1
2015-01-07 09:00:00,50.0,258.0,,,132.09,14963.4525,14635.2575,4.3,2.0,19.5,38.0,9,2,1
2015-01-07 10:00:00,51.22,246.5,,,132.7675,14812.5875,14664.9825,4.9,8.0,21.1,117.0,10,2,1
2015-01-07 11:00:00,50.15,234.75,,,154.765,14479.6425,14419.032500000001,5.8,46.0,21.9,186.0,11,2,1
2015-01-07 12:00:00,51.46,238.75,,,153.70499999999998,14547.58,14261.69,6.6,83.0,22.6,200.0,12,2,1
2015-01-07 13:00:00,50.88,274.25,,,143.83249999999998,14623.915,14067.4925,7.0,100.0,23.1,187.0,13,2,1
2015-01-07 14:00:00,48.0,313.75,,,160.7475,14697.5525,13869.727499999999,7.0,100.0,25.4,127.0,14,2,1
2015-01-07 15:00:00,47.14,386.0,,,153.795,15106.630000000001,14129.545,6.4,99.0,25.5,66.0,15,2,1
2015-01-07 16:00:00,51.07,508.25,,,180.51999999999998,16163.65,14820.4675,5.7,100.0,26.0,11.0,16,2,1
2015-01-07 17:00:00,47.42,628.5,,,210.2175,15373.425,14168.355,5.1,97.0,27.2,0.0,17,2,1
2015-01-07 18:00:00,44.83,727.25,,,227.6975,14764.0625,13458.9925,4.7,96.0,28.9,0.0,18,2,1
2015-01-07 19:00:00,39.1,794.5,,,241.9875,13855.0225,12619.5,4.2,100.0,29.8,0.0,19,2,1
2015-01-07 20:00:00,42.0,862.25,,,250.8225,12868.945,11809.5025,4.0,100.0,30.8,0.0,20,2,1
2015-01-07 21:00:00,37.92,927.5,,,247.3775,11683.19,11038.442500000001,4.2,100.0,31.5,0.0,21,2,1
2015-01-07 22:00:00,33.51,987.75,,,260.8525,10659.1225,10400.615,4.3,100.0,31.5,0.0,22,2,1
2015-01-07 23:00:00,33.11,972.0,,,269.695,9993.5,9603.695,4.6,100.0,32.3,0.0,23,2,1
2015-01-08 00:00:00,32.32,1009.0,,,273.53999999999996,9340.75,8959.34,5.0,100.0,32.5,0.0,0,3,1
2015-01-08 01:00:00,31.1,1042.5,,,271.825,9008.0,8505.0,5.5,100.0,32.4,0.0,1,3,1
2015-01-08 02:00:00,30.17,1076.5,,,270.11,8889.25,8222.1775,6.2,100.0,33.8,0.0,2,3,1
2015-01-08 03:00:00,24.54,1104.75,,,269.4175,8929.25,8122.1325,6.9,100.0,34.5,0.0,3,3,1
2015-01-08 04:00:00,32.0,1123.75,,,278.8775,9423.75,8323.4525,7.4,100.0,33.0,0.0,4,3,1
2015-01-08 05:00:00,38.81,1141.5,,,271.23249999999996,10884.5,9014.915,7.9,100.0,32.2,0.0,5,3,1
2015-01-08 06:00:00,42.44,1153.0,,,266.52750000000003,13364.5,10162.9675,8.3,100.0,31.6,0.0,6,3,1
2015-01-08 07:00:00,45.55,1159.0,,,242.57,15053.25,11080.7275,8.3,100.0,30.2,0.0,7,3,1
2015-01-08 08:00:00,48.75,1165.75,,,213.6475,15540.25,11601.1375,8.4,100.0,30.5,0.0,8,3,1
2015-01-08 09:00:00,49.29,1168.25,,,184.83249999999998,15660.25,11997.1425,8.5,100.0,29.2,2.0,9,3,1
2015-01-08 10:00:00,49.33,1173.25,,,155.3,15894.0,12216.09,8.4,100.0,24.7,7.0,10,3,1
2015-01-08 11:00:00,48.43,1180.0,,,133.07,15829.0,12214.1625,8.3,100.0,23.2,19.0,11,3,1
2015-01-08 12:00:00,47.21,1155.75,,,104.89999999999999,15933.0,12253.6925,8.4,100.0,16.2,8.0,12,3,1
2015-01-08 13:00:00,51.4,1080.25,,,108.1375,15817.0,12209.9825,8.1,100.0,18.2,12.0,13,3,1
2015-01-08 14:00:00,40.5,991.0,,,101.7225,15859.5,12177.355,7.4,100.0,26.5,7.0,14,3,1
