"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 00:15:00","BZN|NL","157.00","157.00"," ","139.74"
"01/01/2021 00:15:00 - 01/01/2021 00:30:00","BZN|NL","162.00","162.00"," ","143.98"
"01/01/2021 00:30:00 - 01/01/2021 00:45:00","BZN|NL","163.00","163.00"," ","150.05"
"01/01/2021 00:45:00 - 01/01/2021 01:00:00","BZN|NL","167.00","167.00"," ","157.45"
"01/01/2021 01:00:00 - 01/01/2021 01:15:00","BZN|NL","171.00","171.00"," ","153.76"
"01/01/2021 01:15:00 - 01/01/2021 01:30:00","BZN|NL","175.00","175.00"," ","154.24"
"01/01/2021 01:30:00 - 01/01/2021 01:45:00","BZN|NL","182.00","182.00"," ","157.28"
"01/01/2021 01:45:00 - 01/01/2021 02:00:00","BZN|NL","189.00","189.00"," ","156.05"
"01/01/2021 02:00:00 - 01/01/2021 02:15:00","BZN|NL","196.00","196.00"," ","159.23"
"01/01/2021 02:15:00 - 01/01/2021 02:30:00","BZN|NL","204.00","204.00"," ","165.18"
"01/01/2021 02:30:00 - 01/01/2021 02:45:00","BZN|NL","211.00","211.00"," ","180.07"
"01/01/2021 02:45:00 - 01/01/2021 03:00:00","BZN|NL","219.00","219.00"," ","195.04"
"01/01/2021 03:00:00 - 01/01/2021 03:15:00","BZN|NL","230.00","230.00"," ","203.31"
"01/01/2021 03:15:00 - 01/01/2021 03:30:00","BZN|NL","232.00","232.00"," ","210.90"
"01/01/2021 03:30:00 - 01/01/2021 03:45:00","BZN|NL","231.00","231.00"," ","210.05"
"01/01/2021 03:45:00 - 01/01/2021 04:00:00","BZN|NL","228.00","228.00"," ","213.55"
"01/01/2021 04:00:00 - 01/01/2021 04:15:00","BZN|NL","228.00","228.00"," ","222.42"
"01/01/2021 04:15:00 - 01/01/2021 04:30:00","BZN|NL","223.00","223.00"," ","233.84"
"01/01/2021 04:30:00 - 01/01/2021 04:45:00","BZN|NL","219.00","219.00"," ","245.98"
"01/01/2021 04:45:00 - 01/01/2021 05:00:00","BZN|NL","214.00","214.00"," ","249.28"
"01/01/2021 05:00:00 - 01/01/2021 05:15:00","BZN|NL","207.00","207.00"," ","261.84"
"01/01/2021 05:15:00 - 01/01/2021 05:30:00","BZN|NL","202.00","202.00"," ","282.70"
"01/01/2021 05:30:00 - 01/01/2021 05:45:00","BZN|NL","195.00","195.00"," ","269.34"
"01/01/2021 05:45:00 - 01/01/2021 06:00:00","BZN|NL","188.00","188.00"," ","268.44"
"01/01/2021 06:00:00 - 01/01/2021 06:15:00","BZN|NL","182.00","182.00"," ","274.15"
"01/01/2021 06:15:00 - 01/01/2021 06:30:00","BZN|NL","177.00","177.00"," ","281.48"
"01/01/2021 06:30:00 - 01/01/2021 06:45:00","BZN|NL","177.00","177.00"," ","288.28"
"01/01/2021 06:45:00 - 01/01/2021 07:00:00","BZN|NL","177.00","177.00"," ","286.15"
"01/01/2021 07:00:00 - 01/01/2021 07:15:00","BZN|NL","177.00","177.00"," ","276.51"
"01/01/2021 07:15:00 - 01/01/2021 07:30:00","BZN|NL","177.00","177.00"," ","272.83"
"01/01/2021 07:30:00 - 01/01/2021 07:45:00","BZN|NL","180.00","180.00"," ","275.96"
"01/01/2021 07:45:00 - 01/01/2021 08:00:00","BZN|NL","181.00","181.00"," ","292.84"
"01/01/2021 08:00:00 - 01/01/2021 08:15:00","BZN|NL","182.00","182.00"," ","275.04"
"01/01/2021 08:15:00 - 01/01/2021 08:30:00","BZN|NL","188.00","188.00"," ","245.26"
"01/01/2021 08:30:00 - 01/01/2021 08:45:00","BZN|NL","194.00","194.00"," ","254.16"
"01/01/2021 08:45:00 - 01/01/2021 09:00:00","BZN|NL","200.00","200.00"," ","232.49"
"01/01/2021 09:00:00 - 01/01/2021 09:15:00","BZN|NL","207.00","207.00"," ","223.98"
"01/01/2021 09:15:00 - 01/01/2021 09:30:00","BZN|NL","206.00","206.00"," ","227.07"
"01/01/2021 09:30:00 - 01/01/2021 09:45:00","BZN|NL","198.00","198.00"," ","239.09"
"01/01/2021 09:45:00 - 01/01/2021 10:00:00","BZN|NL","190.00","190.00"," ","250.34"
"01/01/2021 10:00:00 - 01/01/2021 10:15:00","BZN|NL","181.00","181.00"," ","254.26"
"01/01/2021 10:15:00 - 01/01/2021 10:30:00","BZN|NL","174.00","174.00"," ","261.10"
"01/01/2021 10:30:00 - 01/01/2021 10:45:00","BZN|NL","168.00","168.00"," ","268.53"
"01/01/2021 10:45:00 - 01/01/2021 11:00:00","BZN|NL","162.00","162.00"," ","273.70"
"01/01/2021 11:00:00 - 01/01/2021 11:15:00","BZN|NL","156.00","156.00"," ","268.73"
"01/01/2021 11:15:00 - 01/01/2021 11:30:00","BZN|NL","152.00","152.00"," ","268.96"
"01/01/2021 11:30:00 - 01/01/2021 11:45:00","BZN|NL","155.00","155.00"," ","268.79"
"01/01/2021 11:45:00 - 01/01/2021 12:00:00","BZN|NL","156.00","156.00"," ","271.74"
"01/01/2021 12:00:00 - 01/01/2021 12:15:00","BZN|NL","157.00","157.00"," ","275.48"
"01/01/2021 12:15:00 - 01/01/2021 12:30:00","BZN|NL","161.00","161.00"," ","260.84"
"01/01/2021 12:30:00 - 01/01/2021 12:45:00","BZN|NL","166.00","166.00"," ","268.71"
"01/01/2021 12:45:00 - 01/01/2021 13:00:00","BZN|NL","174.00","174.00"," ","267.36"
"01/01/2021 13:00:00 - 01/01/2021 13:15:00","BZN|NL","177.00","177.00"," ","253.04"
"01/01/2021 13:15:00 - 01/01/2021 13:30:00","BZN|NL","184.00","184.00"," ","254.58"
"01/01/2021 13:30:00 - 01/01/2021 13:45:00","BZN|NL","190.00","190.00"," ","231.32"
"01/01/2021 13:45:00 - 01/01/2021 14:00:00","BZN|NL","196.00","196.00"," ","234.31"
"01/01/2021 14:00:00 - 01/01/2021 14:15:00","BZN|NL","203.00","203.00"," ","238.81"
"01/01/2021 14:15:00 - 01/01/2021 14:30:00","BZN|NL","211.00","211.00"," ","236.14"
"01/01/2021 14:30:00 - 01/01/2021 14:45:00","BZN|NL","221.00","221.00"," ","231.23"
"01/01/2021 14:45:00 - 01/01/2021 15:00:00","BZN|NL","232.00","232.00"," ","248.25"
"01/01/2021 15:00:00 - 01/01/2021 15:15:00","BZN|NL","241.00","241.00"," ","243.86"
"01/01/2021 15:15:00 - 01/01/2021 15:30:00","BZN|NL","254.00","254.00"," ","239.19"
"01/01/2021 15:30:00 - 01/01/2021 15:45:00","BZN|NL","267.00","267.00"," ","244.15"
"01/01/2021 15:45:00 - 01/01/2021 16:00:00","BZN|NL","280.00","280.00"," ","244.18"
"01/01/2021 16:00:00 - 01/01/2021 16:15:00","BZN|NL","295.00","295.00"," ","263.26"
