"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2015 00:00 - 01/01/2015 00:15","BZN|NL","9849.00","10118.27"
"01/01/2015 00:15 - 01/01/2015 00:30","BZN|NL","9819.00","9907.52"
"01/01/2015 00:30 - 01/01/2015 00:45","BZN|NL","9790.00","9661.55"
"01/01/2015 00:45 - 01/01/2015 01:00","BZN|NL","9718.00","9440.15"
"01/01/2015 01:00 - 01/01/2015 01:15","BZN|NL","9622.00","9236.80"
"01/01/2015 01:15 - 01/01/2015 01:30","BZN|NL","9524.00","9081.49"
"01/01/2015 01:30 - 01/01/2015 01:45","BZN|NL","9407.00","8932.06"
"01/01/2015 01:45 - 01/01/2015 02:00","BZN|NL","9271.00","8796.28"
"01/01/2015 02:00 - 01/01/2015 02:15","BZN|NL","9148.00","8712.72"
"01/01/2015 02:15 - 01/01/2015 02:30","BZN|NL","9025.00","8631.36"
"01/01/2015 02:30 - 01/01/2015 02:45","BZN|NL","8889.00","8569.59"
"01/01/2015 02:45 - 01/01/2015 03:00","BZN|NL","8765.00","8517.49"
"01/01/2015 03:00 - 01/01/2015 03:15","BZN|NL","8639.00","8492.69"
"01/01/2015 03:15 - 01/01/2015 03:30","BZN|NL","8514.00","8482.99"
"01/01/2015 03:30 - 01/01/2015 03:45","BZN|NL","8392.00","8451.43"
"01/01/2015 03:45 - 01/01/2015 04:00","BZN|NL","8301.00","8419.56"
"01/01/2015 04:00 - 01/01/2015 04:15","BZN|NL","8228.00","8449.28"
"01/01/2015 04:15 - 01/01/2015 04:30","BZN|NL","8167.00","8473.00"
"01/01/2015 04:30 - 01/01/2015 04:45","BZN|NL","8134.00","8519.35"
"01/01/2015 04:45 - 01/01/2015 05:00","BZN|NL","8095.00","8556.85"
"01/01/2015 05:00 - 01/01/2015 05:15","BZN|NL","8104.00","8682.16"
"01/01/2015 05:15 - 01/01/2015 05:30","BZN|NL","8111.00","8779.87"
"01/01/2015 05:30 - 01/01/2015 05:45","BZN|NL","8127.00","8930.04"
"01/01/2015 05:45 - 01/01/2015 06:00","BZN|NL","8162.00","9128.13"
"01/01/2015 06:00 - 01/01/2015 06:15","BZN|NL","8201.00","9471.02"
"01/01/2015 06:15 - 01/01/2015 06:30","BZN|NL","8259.00","9806.42"
"01/01/2015 06:30 - 01/01/2015 06:45","BZN|NL","8320.00","10151.41"
"01/01/2015 06:45 - 01/01/2015 07:00","BZN|NL","8387.00","10549.16"
"01/01/2015 07:00 - 01/01/2015 07:15","BZN|NL","8516.00","11152.89"
"01/01/2015 07:15 - 01/01/2015 07:30","BZN|NL","8588.00","11661.73"
"01/01/2015 07:30 - 01/01/2015 07:45","BZN|NL","8684.00","12147.77"
"01/01/2015 07:45 - 01/01/2015 08:00","BZN|NL","8765.00","12565.29"
"01/01/2015 08:00 - 01/01/2015 08:15","BZN|NL","8897.00","12946.00"
"01/01/2015 08:15 - 01/01/2015 08:30","BZN|NL","8963.00","13196.51"
"01/01/2015 08:30 - 01/01/2015 08:45","BZN|NL","8897.00","13336.37"
"01/01/2015 08:45 - 01/01/2015 09:00","BZN|NL","8952.00","13480.69"
"01/01/2015 09:00 - 01/01/2015 09:15","BZN|NL","9105.00","13647.67"
"01/01/2015 09:15 - 01/01/2015 09:30","BZN|NL","9239.00","13784.55"
"01/01/2015 09:30 - 01/01/2015 09:45","BZN|NL","9370.00","13869.31"
"01/01/2015 09:45 - 01/01/2015 10:00","BZN|NL","9536.00","13966.60"
"01/01/2015 10:00 - 01/01/2015 10:15","BZN|NL","9701.00","14019.55"
"01/01/2015 10:15 - 01/01/2015 10:30","BZN|NL","9874.00","14046.33"
"01/01/2015 10:30 - 01/01/2015 10:45","BZN|NL","10007.00","14094.01"
"01/01/2015 10:45 - 01/01/2015 11:00","BZN|NL","10151.00","14129.77"
"01/01/2015 11:00 - 01/01/2015 11:15","BZN|NL","10270.00","14156.31"
"01/01/2015 11:15 - 01/01/2015 11:30","BZN|NL","10408.00","14184.39"
"01/01/2015 11:30 - 01/01/2015 11:45","BZN|NL","10492.00","14200.59"
"01/01/2015 11:45 - 01/01/2015 12:00","BZN|NL","10558.00","14186.61"
"01/01/2015 12:00 - 01/01/2015 12:15","BZN|NL","11937.82","14153.04"
"01/01/2015 12:15 - 01/01/2015 12:30","BZN|NL","11887.28","14078.15"
"01/01/2015 12:30 - 01/01/2015 12:45","BZN|NL","11924.43","13978.76"
"01/01/2015 12:45 - 01/01/2015 13:00","BZN|NL","11926.03","13934.18"
"01/01/2015 13:00 - 01/01/2015 13:15","BZN|NL","11886.41","13987.41"
"01/01/2015 13:15 - 01/01/2015 13:30","BZN|NL","11910.02","14040.61"
"01/01/2015 13:30 - 01/01/2015 13:45","BZN|NL","11987.20","14020.19"
"01/01/2015 13:45 - 01/01/2015 14:00","BZN|NL","12021.52","14005.84"
"01/01/2015 14:00 - 01/01/2015 14:15","BZN|NL","12045.75","13962.15"
"01/01/2015 14:15 - 01/01/2015 14:30","BZN|NL","12096.82","13936.97"
"01/01/2015 14:30 - 01/01/2015 14:45","BZN|NL","12110.84","13885.68"
"01/01/2015 14:45 - 01/01/2015 15:00","BZN|NL","12016.37","13879.64"
"01/01/2015 15:00 - 01/01/2015 15:15","BZN|NL","11892.97","13817.32"
"01/01/2015 15:15 - 01/01/2015 15:30","BZN|NL","11763.82","13845.74"
"01/01/2015 15:30 - 01/01/2015 15:45","BZN|NL","11785.19","13916.69"
"01/01/2015 15:45 - 01/01/2015 16:00","BZN|NL","11873.91","13998.97"
"01/01/2015 16:00 - 01/01/2015 16:15","BZN|NL","11937.55","14066.89"
"01/01/2015 16:15 - 01/01/2015 16:30","BZN|NL","11947.44","14237.08"
"01/01/2015 16:30 - 01/01/2015 16:45","BZN|NL","12115.24","14501.91"
"01/01/2015 16:45 - 01/01/2015 17:00","BZN|NL","12347.28","14921.21"
"01/01/2015 17:00 - 01/01/2015 17:15","BZN|NL","12498.98","15091.49"
"01/01/2015 17:15 - 01/01/2015 17:30","BZN|NL","12521.32","15221.31"
"01/01/2015 17:30 - 01/01/2015 17:45","BZN|NL","12790.81","15258.40"
