"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|NL","Without Sequence","36.56","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|NL","Without Sequence","34.94","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|NL","Without Sequence","32.19","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|NL","Without Sequence","28.05","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|NL","Without Sequence","28.04","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|NL","Without Sequence","34.26","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|NL","Without Sequence","37.80","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|NL","Without Sequence","50.38","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|NL","Without Sequence","50.97","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|NL","Without Sequence","41.51","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|NL","Without Sequence","40.46","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|NL","Without Sequence","42.00","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|NL","Without Sequence","40.72","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|NL","Without Sequence","41.92","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|NL","Without Sequence","42.00","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|NL","Without Sequence","43.10","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|NL","Without Sequence","46.70","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|NL","Without Sequence","56.78","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|NL","Without Sequence","58.84","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|NL","Without Sequence","49.23","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|NL","Without Sequence","44.32","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|NL","Without Sequence","40.00","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|NL","Without Sequence","41.78","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|NL","Without Sequence","38.60","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|NL","Without Sequence","36.90","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|NL","Without Sequence","35.04","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|NL","Without Sequence","34.50","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|NL","Without Sequence","33.47","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|NL","Without Sequence","33.97","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|NL","Without Sequence","36.02","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|NL","Without Sequence","39.96","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|NL","Without Sequence","42.66","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|NL","Without Sequence","44.94","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|NL","Without Sequence","50.87","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|NL","Without Sequence","50.86","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|NL","Without Sequence","50.17","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|NL","Without Sequence","47.97","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|NL","Without Sequence","45.20","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|NL","Without Sequence","41.45","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|NL","Without Sequence","40.08","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|NL","Without Sequence","43.62","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|NL","Without Sequence","48.55","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|NL","Without Sequence","45.71","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|NL","Without Sequence","39.94","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|NL","Without Sequence","44.94","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|NL","Without Sequence","42.51","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|NL","Without Sequence","44.00","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|NL","Without Sequence","39.94","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|NL","Without Sequence","36.11","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|NL","Without Sequence","34.31","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|NL","Without Sequence","32.55","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|NL","Without Sequence","32.08","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|NL","Without Sequence","29.48","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|NL","Without Sequence","34.94","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|NL","Without Sequence","35.78","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|NL","Without Sequence","45.98","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|NL","Without Sequence","47.91","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|NL","Without Sequence","48.91","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|NL","Without Sequence","50.00","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|NL","Without Sequence","51.22","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|NL","Without Sequence","50.15","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|NL","Without Sequence","51.46","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|NL","Without Sequence","50.88","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|NL","Without Sequence","48.00","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|NL","Without Sequence","47.14","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|NL","Without Sequence","51.07","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|NL","Without Sequence","47.42","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|NL","Without Sequence","44.83","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|NL","Without Sequence","39.10","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|NL","Without Sequence","42.00","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|NL","Without Sequence","37.92","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|NL","Without Sequence","33.51","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|NL","Without Sequence","33.11","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|NL","Without Sequence","32.32","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|NL","Without Sequence","31.10","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|NL","Without Sequence","30.17","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|NL","Without Sequence","24.54","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|NL","Without Sequence","32.00","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|NL","Without Sequence","38.81","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|NL","Without Sequence","42.44","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|NL","Without Sequence","45.55","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|NL","Without Sequence","48.75","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|NL","Without Sequence","49.29","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|NL","Without Sequence","49.33","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|NL","Without Sequence","48.43","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|NL","Without Sequence","47.21","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|NL","Without Sequence","51.40","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|NL","Without Sequence","40.50","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|NL","Without Sequence","41.10","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|NL","Without Sequence","54.50","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|NL","Without Sequence","51.25","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|NL","Without Sequence","50.31","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|NL","Without Sequence","47.97","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|NL","Without Sequence","40.50","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|NL","Without Sequence","43.80","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|NL","Without Sequence","44.05","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|NL","Without Sequence","32.28","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|NL","Without Sequence","29.71","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|NL","Without Sequence","28.97","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|NL","Without Sequence","25.12","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|NL","Without Sequence","25.46","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|NL","Without Sequence","25.84","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|NL","Without Sequence","31.86","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|NL","Without Sequence","44.00","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|NL","Without Sequence","45.82","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|NL","Without Sequence","47.16","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|NL","Without Sequence","42.52","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|NL","Without Sequence","43.00","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|NL","Without Sequence","41.01","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|NL","Without Sequence","40.00","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|NL","Without Sequence","39.94","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|NL","Without Sequence","39.96","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|NL","Without Sequence","39.96","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|NL","Without Sequence","52.44","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|NL","Without Sequence","41.00","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|NL","Without Sequence","38.95","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|NL","Without Sequence","36.51","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|NL","Without Sequence","34.60","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|NL","Without Sequence","31.09","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|NL","Without Sequence","29.46","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|NL","Without Sequence","25.88","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|NL","Without Sequence","25.78","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|NL","Without Sequence","25.50","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|NL","Without Sequence","25.34","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|NL","Without Sequence","25.24","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|NL","Without Sequence","21.60","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|NL","Without Sequence","20.83","",""
