time,temperature_2m,cloud_cover,wind_speed_10m,shortwave_radiation
2015-01-01T00:00,3.7,34,24.1,0.0
2015-01-01T01:00,3.6,12,24.2,0.0
2015-01-01T02:00,3.5,7,24.7,0.0
2015-01-01T03:00,3.5,7,23.9,0.0
2015-01-01T04:00,3.1,24,21.6,0.0
2015-01-01T05:00,2.9,11,25.0,0.0
2015-01-01T06:00,2.8,11,27.1,0.0
2015-01-01T07:00,2.4,11,25.6,0.0
2015-01-01T08:00,2.5,35,22.9,0.0
2015-01-01T09:00,2.8,100,24.3,26.0
2015-01-01T10:00,3.2,100,24.3,72.0
2015-01-01T11:00,3.9,100,25.3,130.0
2015-01-01T12:00,4.3,96,26.2,165.0
2015-01-01T13:00,4.6,99,25.6,167.0
2015-01-01T14:00,4.6,100,28.2,92.0
2015-01-01T15:00,4.7,100,28.8,49.0
2015-01-01T16:00,4.6,100,29.9,7.0
2015-01-01T17:00,4.7,98,31.6,0.0
2015-01-01T18:00,4.9,100,33.5,0.0
2015-01-01T19:00,5.2,100,35.7,0.0
2015-01-01T20:00,5.4,100,37.2,0.0
2015-01-01T21:00,5.7,100,38.8,0.0
2015-01-01T22:00,5.8,98,40.8,0.0
2015-01-01T23:00,5.9,100,42.0,0.0
2015-01-02T00:00,6.2,100,44.4,0.0
2015-01-02T01:00,7.1,100,43.9,0.0
2015-01-02T02:00,8.0,100,43.8,0.0
2015-01-02T03:00,8.8,100,43.6,0.0
2015-01-02T04:00,9.4,100,42.4,0.0
2015-01-02T05:00,10.1,100,40.6,0.0
2015-01-02T06:00,10.6,100,38.7,0.0
2015-01-02T07:00,10.5,97,33.9,0.0
2015-01-02T08:00,9.8,72,32.6,0.0
2015-01-02T09:00,8.8,95,31.1,28.0
2015-01-02T10:00,8.5,69,29.6,106.0
2015-01-02T11:00,8.4,67,31.8,172.0
2015-01-02T12:00,8.3,6,32.8,221.0
2015-01-02T13:00,8.0,42,32.9,207.0
2015-01-02T14:00,7.7,2,33.3,160.0
2015-01-02T15:00,7.4,3,32.9,82.0
2015-01-02T16:00,7.1,5,33.3,11.0
2015-01-02T17:00,7.1,20,32.8,0.0
2015-01-02T18:00,6.9,18,31.7,0.0
2015-01-02T19:00,7.0,30,30.0,0.0
2015-01-02T20:00,6.8,23,29.5,0.0
2015-01-02T21:00,6.6,89,28.8,0.0
2015-01-02T22:00,6.5,100,27.4,0.0
2015-01-02T23:00,6.5,100,24.2,0.0
2015-01-03T00:00,6.4,100,22.7,0.0
2015-01-03T01:00,6.2,100,22.3,0.0
2015-01-03T02:00,6.1,100,20.2,0.0
2015-01-03T03:00,6.0,99,19.9,0.0
2015-01-03T04:00,6.0,97,20.4,0.0
2015-01-03T05:00,6.0,100,21.9,0.0
2015-01-03T06:00,6.0,100,25.4,0.0
2015-01-03T07:00,6.3,100,25.0,0.0
2015-01-03T08:00,6.1,100,24.5,0.0
2015-01-03T09:00,5.6,100,20.8,8.0
