"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 00:15:00","BZN|NL","1249.00","N/A"," ","349.30"
"01/01/2017 00:15:00 - 01/01/2017 00:30:00","BZN|NL","1246.00","N/A"," ","409.40"
"01/01/2017 00:30:00 - 01/01/2017 00:45:00","BZN|NL","1242.00","N/A"," ","413.97"
"01/01/2017 00:45:00 - 01/01/2017 01:00:00","BZN|NL","1237.00","N/A"," ","404.86"
"01/01/2017 01:00:00 - 01/01/2017 01:15:00","BZN|NL","1286.00","N/A"," ","396.49"
"01/01/2017 01:15:00 - 01/01/2017 01:30:00","BZN|NL","1279.00","N/A"," ","387.21"
"01/01/2017 01:30:00 - 01/01/2017 01:45:00","BZN|NL","1285.00","N/A"," ","391.15"
"01/01/2017 01:45:00 - 01/01/2017 02:00:00","BZN|NL","1292.00","N/A"," ","377.42"
"01/01/2017 02:00:00 - 01/01/2017 02:15:00","BZN|NL","1298.00","N/A"," ","372.99"
"01/01/2017 02:15:00 - 01/01/2017 02:30:00","BZN|NL","1308.00","N/A"," ","378.86"
"01/01/2017 02:30:00 - 01/01/2017 02:45:00","BZN|NL","1319.00","N/A"," ","381.42"
"01/01/2017 02:45:00 - 01/01/2017 03:00:00","BZN|NL","1329.00","N/A"," ","393.54"
"01/01/2017 03:00:00 - 01/01/2017 03:15:00","BZN|NL","1342.00","N/A"," ","380.34"
"01/01/2017 03:15:00 - 01/01/2017 03:30:00","BZN|NL","1350.00","N/A"," ","391.37"
"01/01/2017 03:30:00 - 01/01/2017 03:45:00","BZN|NL","1357.00","N/A"," ","406.62"
"01/01/2017 03:45:00 - 01/01/2017 04:00:00","BZN|NL","1365.00","N/A"," ","407.15"
"01/01/2017 04:00:00 - 01/01/2017 04:15:00","BZN|NL","1371.00","N/A"," ","404.74"
"01/01/2017 04:15:00 - 01/01/2017 04:30:00","BZN|NL","1370.00","N/A"," ","411.87"
"01/01/2017 04:30:00 - 01/01/2017 04:45:00","BZN|NL","1361.00","N/A"," ","411.46"
"01/01/2017 04:45:00 - 01/01/2017 05:00:00","BZN|NL","1350.00","N/A"," ","425.10"
"01/01/2017 05:00:00 - 01/01/2017 05:15:00","BZN|NL","1342.00","N/A"," ","420.96"
"01/01/2017 05:15:00 - 01/01/2017 05:30:00","BZN|NL","1337.00","N/A"," ","421.01"
"01/01/2017 05:30:00 - 01/01/2017 05:45:00","BZN|NL","1343.00","N/A"," ","405.58"
"01/01/2017 05:45:00 - 01/01/2017 06:00:00","BZN|NL","1346.00","N/A"," ","405.53"
"01/01/2017 06:00:00 - 01/01/2017 06:15:00","BZN|NL","1351.00","N/A"," ","394.73"
"01/01/2017 06:15:00 - 01/01/2017 06:30:00","BZN|NL","1350.00","N/A"," ","382.16"
"01/01/2017 06:30:00 - 01/01/2017 06:45:00","BZN|NL","1343.00","N/A"," ","355.26"
"01/01/2017 06:45:00 - 01/01/2017 07:00:00","BZN|NL","1337.00","N/A"," ","345.64"
"01/01/2017 07:00:00 - 01/01/2017 07:15:00","BZN|NL","1333.00","N/A"," ","339.18"
"01/01/2017 07:15:00 - 01/01/2017 07:30:00","BZN|NL","1324.00","N/A"," ","350.39"
"01/01/2017 07:30:00 - 01/01/2017 07:45:00","BZN|NL","1314.00","N/A"," ","349.79"
"01/01/2017 07:45:00 - 01/01/2017 08:00:00","BZN|NL","1306.00","N/A"," ","355.82"
"01/01/2017 08:00:00 - 01/01/2017 08:15:00","BZN|NL","1296.00","N/A"," ","359.43"
"01/01/2017 08:15:00 - 01/01/2017 08:30:00","BZN|NL","1288.00","N/A"," ","349.94"
"01/01/2017 08:30:00 - 01/01/2017 08:45:00","BZN|NL","1279.00","N/A"," ","367.23"
"01/01/2017 08:45:00 - 01/01/2017 09:00:00","BZN|NL","1268.00","N/A"," ","374.52"
"01/01/2017 09:00:00 - 01/01/2017 09:15:00","BZN|NL","1259.00","N/A"," ","353.72"
"01/01/2017 09:15:00 - 01/01/2017 09:30:00","BZN|NL","1250.00","N/A"," ","339.82"
"01/01/2017 09:30:00 - 01/01/2017 09:45:00","BZN|NL","1242.00","N/A"," ","328.11"
"01/01/2017 09:45:00 - 01/01/2017 10:00:00","BZN|NL","1229.00","N/A"," ","315.12"
"01/01/2017 10:00:00 - 01/01/2017 10:15:00","BZN|NL","1220.00","N/A"," ","310.84"
"01/01/2017 10:15:00 - 01/01/2017 10:30:00","BZN|NL","1217.00","N/A"," ","314.98"
"01/01/2017 10:30:00 - 01/01/2017 10:45:00","BZN|NL","1218.00","N/A"," ","303.23"
"01/01/2017 10:45:00 - 01/01/2017 11:00:00","BZN|NL","1217.00","N/A"," ","276.57"
"01/01/2017 11:00:00 - 01/01/2017 11:15:00","BZN|NL","1216.00","N/A"," ","281.16"
"01/01/2017 11:15:00 - 01/01/2017 11:30:00","BZN|NL","1212.00","N/A"," ","271.25"
"01/01/2017 11:30:00 - 01/01/2017 11:45:00","BZN|NL","1209.00","N/A"," ","262.02"
"01/01/2017 11:45:00 - 01/01/2017 12:00:00","BZN|NL","1203.00","N/A"," ","245.31"
"01/01/2017 12:00:00 - 01/01/2017 12:15:00","BZN|NL","1197.00","N/A"," ","247.60"
"01/01/2017 12:15:00 - 01/01/2017 12:30:00","BZN|NL","1184.00","N/A"," ","247.20"
"01/01/2017 12:30:00 - 01/01/2017 12:45:00","BZN|NL","1161.00","N/A"," ","249.08"
"01/01/2017 12:45:00 - 01/01/2017 13:00:00","BZN|NL","1137.00","N/A"," ","256.74"
"01/01/2017 13:00:00 - 01/01/2017 13:15:00","BZN|NL","1114.00","N/A"," ","264.72"
"01/01/2017 13:15:00 - 01/01/2017 13:30:00","BZN|NL","1108.00","N/A"," ","273.90"
"01/01/2017 13:30:00 - 01/01/2017 13:45:00","BZN|NL","1119.00","N/A"," ","266.74"
"01/01/2017 13:45:00 - 01/01/2017 14:00:00","BZN|NL","1132.00","N/A"," ","268.80"
"01/01/2017 14:00:00 - 01/01/2017 14:15:00","BZN|NL","1143.00","N/A"," ","265.25"
"01/01/2017 14:15:00 - 01/01/2017 14:30:00","BZN|NL","1151.00","N/A"," ","261.40"
"01/01/2017 14:30:00 - 01/01/2017 14:45:00","BZN|NL","1155.00","N/A"," ","259.86"
"01/01/2017 14:45:00 - 01/01/2017 15:00:00","BZN|NL","1157.00","N/A"," ","265.58"
"01/01/2017 15:00:00 - 01/01/2017 15:15:00","BZN|NL","1159.00","N/A"," ","257.15"
"01/01/2017 15:15:00 - 01/01/2017 15:30:00","BZN|NL","1162.00","N/A"," ","247.70"
"01/01/2017 15:30:00 - 01/01/2017 15:45:00","BZN|NL","1163.00","N/A"," ","262.29"
"01/01/2017 15:45:00 - 01/01/2017 16:00:00","BZN|NL","1165.00","N/A"," ","247.94"
"01/01/2017 16:00:00 - 01/01/2017 16:15:00","BZN|NL","1169.00","N/A"," ","244.30"
"01/01/2017 16:15:00 - 01/01/2017 16:30:00","BZN|NL","1157.00","N/A"," ","248.80"
"01/01/2017 16:30:00 - 01/01/2017 16:45:00","BZN|NL","1137.00","N/A"," ","258.84"
"01/01/2017 16:45:00 - 01/01/2017 17:00:00","BZN|NL","1114.00","N/A"," ","251.33"
"01/01/2017 17:00:00 - 01/01/2017 17:15:00","BZN|NL","1090.00","N/A"," ","246.26"
"01/01/2017 17:15:00 - 01/01/2017 17:30:00","BZN|NL","1069.00","N/A"," ","260.34"
"01/01/2017 17:30:00 - 01/01/2017 17:45:00","BZN|NL","1053.00","N/A"," ","261.72"
"01/01/2017 17:45:00 - 01/01/2017 18:00:00","BZN|NL","1035.00","N/A"," ","260.90"
"01/01/2017 18:00:00 - 01/01/2017 18:15:00","BZN|NL","1018.00","N/A"," ","267.66"
"01/01/2017 18:15:00 - 01/01/2017 18:30:00","BZN|NL","994.00","N/A"," ","268.28"
"01/01/2017 18:30:00 - 01/01/2017 18:45:00","BZN|NL","967.00","N/A"," ","252.20"
"01/01/2017 18:45:00 - 01/01/2017 19:00:00","BZN|NL","938.00","N/A"," ","249.33"
"01/01/2017 19:00:00 - 01/01/2017 19:15:00","BZN|NL","910.00","N/A"," ","249.18"
"01/01/2017 19:15:00 - 01/01/2017 19:30:00","BZN|NL","875.00","N/A"," ","240.05"
"01/01/2017 19:30:00 - 01/01/2017 19:45:00","BZN|NL","834.00","N/A"," ","217.30"
"01/01/2017 19:45:00 - 01/01/2017 20:00:00","BZN|NL","792.00","N/A"," ","202.36"
"01/01/2017 20:00:00 - 01/01/2017 20:15:00","BZN|NL","749.00","N/A"," ","164.39"
"01/01/2017 20:15:00 - 01/01/2017 20:30:00","BZN|NL","706.00","N/A"," ","132.59"
"01/01/2017 20:30:00 - 01/01/2017 20:45:00","BZN|NL","660.00","N/A"," ","101.65"
"01/01/2017 20:45:00 - 01/01/2017 21:00:00","BZN|NL","616.00","N/A"," ","71.13"
"01/01/2017 21:00:00 - 01/01/2017 21:15:00","BZN|NL","569.00","N/A"," ","49.90"
"01/01/2017 21:15:00 - 01/01/2017 21:30:00","BZN|NL","523.00","N/A"," ","35.64"
"01/01/2017 21:30:00 - 01/01/2017 21:45:00","BZN|NL","478.00","N/A"," ","27.18"
"01/01/2017 21:45:00 - 01/01/2017 22:00:00","BZN|NL","436.00","N/A"," ","19.53"
"01/01/2017 22:00:00 - 01/01/2017 22:15:00","BZN|NL","389.00","N/A"," ","18.84"
"01/01/2017 22:15:00 - 01/01/2017 22:30:00","BZN|NL","362.00","N/A"," ","18.21"
"01/01/2017 22:30:00 - 01/01/2017 22:45:00","BZN|NL","348.00","N/A"," ","19.41"
"01/01/2017 22:45:00 - 01/01/2017 23:00:00","BZN|NL","335.00","N/A"," ","15.74"
"01/01/2017 23:00:00 - 01/01/2017 23:15:00","BZN|NL","322.00","N/A"," ","10.50"
"01/01/2017 23:15:00 - 01/01/2017 23:30:00","BZN|NL","323.00","N/A"," ","11.94"
"01/01/2017 23:30:00 - 01/01/2017 23:45:00","BZN|NL","338.00","N/A"," ","16.79"
"01/01/2017 23:45:00 - 02/01/2017 00:00:00","BZN|NL","353.00","N/A"," ","26.23"
"02/01/2017 00:00:00 - 02/01/2017 00:15:00","BZN|NL","369.00","N/A"," ","34.20"
"02/01/2017 00:15:00 - 02/01/2017 00:30:00","BZN|NL","380.00","N/A"," ","71.19"
"02/01/2017 00:30:00 - 02/01/2017 00:45:00","BZN|NL","391.00","N/A"," ","89.33"
"02/01/2017 00:45:00 - 02/01/2017 01:00:00","BZN|NL","402.00","N/A"," ","120.37"
"02/01/2017 01:00:00 - 02/01/2017 01:15:00","BZN|NL","358.00","N/A"," ","168.42"
"02/01/2017 01:15:00 - 02/01/2017 01:30:00","BZN|NL","370.00","N/A"," ","164.27"
"02/01/2017 01:30:00 - 02/01/2017 01:45:00","BZN|NL","385.00","N/A"," ","166.85"
"02/01/2017 01:45:00 - 02/01/2017 02:00:00","BZN|NL","403.00","N/A"," ","175.26"
"02/01/2017 02:00:00 - 02/01/2017 02:15:00","BZN|NL","417.00","N/A"," ","176.30"
"02/01/2017 02:15:00 - 02/01/2017 02:30:00","BZN|NL","442.00","N/A"," ","201.79"
"02/01/2017 02:30:00 - 02/01/2017 02:45:00","BZN|NL","476.00","N/A"," ","206.92"
"02/01/2017 02:45:00 - 02/01/2017 03:00:00","BZN|NL","510.00","N/A"," ","215.07"
"02/01/2017 03:00:00 - 02/01/2017 03:15:00","BZN|NL","543.00","N/A"," ","207.17"
"02/01/2017 03:15:00 - 02/01/2017 03:30:00","BZN|NL","575.00","N/A"," ","217.70"
