MTU (UTC),price,gen_day_ahead,gen_intraday,gen_current,gen_actual,load_actual,load_forecast,temp_2m,cloud_cover,wind_speed_10m,shortwave_radiation,hour,day_of_week,month
2019-01-01 00:00:00,64.98,1773.5,1773.5,,693.0775,11193.635,11810.1375,8.3,88.0,26.6,0.0,0,1,1
2019-01-01 01:00:00,60.27,1892.25,1892.25,,734.71,10933.36,11410.425,8.3,82.0,27.2,0.0,1,1,1
2019-01-01 02:00:00,49.97,2003.0,2003.0,,778.1375,10666.58,11309.005000000001,8.2,31.0,27.8,0.0,2,1,1
2019-01-01 03:00:00,47.66,2051.75,2051.75,,804.3175,10413.3575,11420.285,7.8,84.0,26.9,0.0,3,1,1
2019-01-01 04:00:00,48.0,2093.25,2093.25,,854.0675,10440.7925,11881.215,8.1,100.0,27.5,0.0,4,1,1
2019-01-01 05:00:00,49.75,2096.5,2096.5,,854.47,10669.5625,13031.525,8.0,41.0,28.5,0.0,5,1,1
2019-01-01 06:00:00,55.12,2035.75,2035.75,,843.0525,10898.5625,14994.9,7.9,78.0,28.1,0.0,6,1,1
2019-01-01 07:00:00,44.8,1937.25,1937.25,,802.6575,11161.1075,16635.125,8.2,100.0,29.2,0.0,7,1,1
2019-01-01 08:00:00,49.58,1851.5,1851.5,,618.9625,11463.055,17154.4125,8.4,98.0,29.4,0.0,8,1,1
2019-01-01 09:00:00,55.44,1847.5,1847.5,,702.85,11837.1675,17062.3625,8.8,100.0,29.7,12.0,9,1,1
2019-01-01 10:00:00,62.62,1982.75,1982.75,,748.9925000000001,12257.755000000001,16929.795,9.2,100.0,30.6,43.0,10,1,1
2019-01-01 11:00:00,57.4,2190.25,2190.25,,722.78,12492.56,16715.9275,9.1,85.0,25.3,28.0,11,1,1
2019-01-01 12:00:00,50.76,2374.75,2374.75,,727.915,12609.565,15521.29,8.6,92.0,24.3,93.0,12,1,1
2019-01-01 13:00:00,49.92,2542.5,2542.5,,793.615,12587.44,16830.3875,8.4,35.0,27.0,127.0,13,1,1
2019-01-01 14:00:00,50.05,2673.75,2673.75,,822.49,12708.8875,17128.1025,8.1,95.0,29.0,125.0,14,1,1
2019-01-01 15:00:00,50.6,2727.25,2727.25,,858.86,13076.505000000001,17373.802499999998,8.1,89.0,31.7,37.0,15,1,1
2019-01-01 16:00:00,60.72,2787.5,2787.5,,877.51,14079.057499999999,17958.54,8.0,82.0,30.1,6.0,16,1,1
2019-01-01 17:00:00,50.51,2843.75,2843.75,,880.5,13950.3575,16991.4175,7.7,74.0,35.7,0.0,17,1,1
2019-01-01 18:00:00,47.35,2863.75,2863.75,,880.345,13678.0075,16288.2775,7.7,100.0,37.4,0.0,18,1,1
2019-01-01 19:00:00,50.4,2853.75,2853.75,,882.4625000000001,13310.655,15655.86,7.4,82.0,36.8,0.0,19,1,1
2019-01-01 20:00:00,47.53,2845.5,2845.5,,894.6475,12761.6675,14886.0375,7.3,88.0,35.6,0.0,20,1,1
2019-01-01 21:00:00,51.06,2830.75,2830.75,,879.13,12221.975,14031.27,7.2,98.0,35.3,0.0,21,1,1
2019-01-01 22:00:00,47.55,2815.0,2815.0,,859.6825,11521.7475,13121.03,7.1,89.0,36.3,0.0,22,1,1
2019-01-01 23:00:00,49.0,2746.25,2746.25,,829.3475,11056.060000000001,12513.7225,6.8,84.0,36.0,0.0,23,1,1
2019-01-02 00:00:00,46.6,2737.75,2737.75,,851.7049999999999,10727.1575,12033.2925,6.8,100.0,34.7,0.0,0,2,1
2019-01-02 01:00:00,46.6,2733.5,2733.5,,848.6475,10573.0975,11641.965,6.5,64.0,32.7,0.0,1,2,1
2019-01-02 02:00:00,45.73,2715.75,2715.75,,865.02,10511.695,11547.3025,7.2,65.0,33.3,0.0,2,2,1
2019-01-02 03:00:00,46.01,2672.75,2672.75,,822.855,10607.4075,11587.9225,7.3,74.0,32.8,0.0,3,2,1
2019-01-02 04:00:00,46.45,2600.0,2600.0,,803.245,11109.0475,11985.4825,7.2,67.0,33.0,0.0,4,2,1
2019-01-02 05:00:00,47.86,2457.5,2457.5,,727.4875,12300.005000000001,13315.3275,7.1,91.0,32.9,0.0,5,2,1
2019-01-02 06:00:00,49.5,2253.75,2253.75,,792.98,13752.8025,15301.2675,7.0,51.0,32.5,0.0,6,2,1
2019-01-02 07:00:00,52.42,2010.25,2010.25,,633.165,15030.14,16936.2825,6.8,53.0,31.8,0.0,7,2,1
2019-01-02 08:00:00,52.42,1754.75,1754.75,,516.2725,15712.94,17502.55,6.9,76.0,31.3,0.0,8,2,1
2019-01-02 09:00:00,52.36,1581.0,1581.0,,484.9275,15787.825,17725.795,7.0,71.0,31.7,19.0,9,2,1
2019-01-02 10:00:00,51.94,1470.5,1470.5,,440.9375,15929.1175,17715.225,7.2,95.0,28.6,70.0,10,2,1
2019-01-02 11:00:00,51.59,1397.0,1397.0,,443.9575,15857.3225,17571.8075,7.1,99.0,25.9,72.0,11,2,1
2019-01-02 12:00:00,51.77,1262.25,1262.25,,354.865,15854.34,17588.965,6.7,80.0,30.7,75.0,12,2,1
2019-01-02 13:00:00,52.61,1093.0,1093.0,,253.8625,15811.3375,17676.6325,6.6,90.0,28.3,80.0,13,2,1
2019-01-02 14:00:00,60.0,982.0,982.0,,301.375,15885.05,17778.5075,6.7,98.0,26.0,54.0,14,2,1
2019-01-02 15:00:00,69.95,915.25,915.25,,273.22749999999996,16285.9475,18002.3475,6.3,91.0,22.1,36.0,15,2,1
2019-01-02 16:00:00,80.0,865.25,865.25,,231.4425,17158.3275,18541.274999999998,6.3,88.0,18.6,5.0,16,2,1
2019-01-02 17:00:00,77.67,810.0,810.0,,258.875,16290.0425,17427.0775,6.2,100.0,16.7,0.0,17,2,1
2019-01-02 18:00:00,76.53,734.75,734.75,,276.3175,15698.335,16670.6175,6.4,86.0,15.0,0.0,18,2,1
2019-01-02 19:00:00,67.29,703.75,703.75,,277.23,14984.86,15998.855,5.8,95.0,13.6,0.0,19,2,1
2019-01-02 20:00:00,55.64,674.0,674.0,,217.815,14205.9075,15256.285,6.2,81.0,15.7,0.0,20,2,1
2019-01-02 21:00:00,53.81,670.25,670.25,,211.0,13328.7025,14271.9025,6.1,86.0,19.4,0.0,21,2,1
2019-01-02 22:00:00,52.43,612.5,612.5,,251.1925,12557.3975,13389.9275,5.5,71.0,19.5,0.0,22,2,1
2019-01-02 23:00:00,50.12,553.25,553.25,,244.2875,11983.26,12756.4725,5.7,92.0,17.8,0.0,23,2,1
2019-01-03 00:00:00,47.1,519.75,519.75,,233.1275,11574.31,12312.0425,6.1,82.0,15.6,0.0,0,3,1
2019-01-03 01:00:00,46.4,514.75,514.75,,268.8725,11283.6175,11849.817500000001,5.9,95.0,19.5,0.0,1,3,1
2019-01-03 02:00:00,44.0,516.0,516.0,,218.04,11176.0,11674.6325,5.9,86.0,17.1,0.0,2,3,1
2019-01-03 03:00:00,43.88,505.75,505.75,,209.17000000000002,11244.865,11761.252499999999,5.8,87.0,19.5,0.0,3,3,1
2019-01-03 04:00:00,45.92,464.75,464.75,,196.425,11689.279999999999,12203.585,5.4,55.0,17.3,0.0,4,3,1
2019-01-03 05:00:00,52.46,441.75,441.75,,185.0525,12827.7375,13577.2875,5.3,70.0,16.2,0.0,5,3,1
2019-01-03 06:00:00,58.63,475.5,475.5,,188.8975,14330.692500000001,15827.55,5.2,50.0,15.4,0.0,6,3,1
2019-01-03 07:00:00,65.08,505.0,505.0,,189.405,15617.0875,17708.34,5.6,90.0,16.7,0.0,7,3,1
2019-01-03 08:00:00,75.58,482.5,482.5,,197.08249999999998,16119.592499999999,18334.6475,5.8,97.0,14.9,0.0,8,3,1
2019-01-03 09:00:00,79.68,430.5,430.5,,193.025,16224.029999999999,18311.9775,6.1,99.0,15.8,18.0,9,3,1
2019-01-03 10:00:00,74.29,402.0,402.0,,159.7875,16145.015,18106.68,6.4,92.0,18.1,51.0,10,3,1
2019-01-03 11:00:00,73.7,377.0,377.0,,168.4525,15842.58,17765.295,6.6,95.0,17.2,101.0,11,3,1
2019-01-03 12:00:00,70.31,331.25,331.25,,178.2275,15786.7125,17759.1475,6.4,99.0,15.3,112.0,12,3,1
2019-01-03 13:00:00,69.9,316.5,316.5,,157.41750000000002,15846.95,17970.5875,6.4,100.0,17.1,55.0,13,3,1
2019-01-03 14:00:00,68.45,333.75,333.75,,186.1025,15957.945,18198.17,6.2,88.0,14.8,31.0,14,3,1
2019-01-03 15:00:00,70.0,363.0,363.0,,237.42249999999999,16306.2325,18640.71,6.1,96.0,18.4,33.0,15,3,1
2019-01-03 16:00:00,73.7,391.5,391.5,,205.63,17139.495,19170.4,5.8,100.0,18.8,5.0,16,3,1
2019-01-03 17:00:00,83.7,383.25,383.25,,180.6575,16370.89,18047.1825,5.7,100.0,14.9,0.0,17,3,1
2019-01-03 18:00:00,71.34,377.25,377.25,,210.0675,15836.9275,17278.72,6.1,94.0,14.3,0.0,18,3,1
