MTU (UTC),price,gen_day_ahead,gen_intraday,gen_current,gen_actual,load_actual,load_forecast,temp_2m,cloud_cover,wind_speed_10m,shortwave_radiation,hour,day_of_week,month
2022-01-01 00:00:00,124.7,2419.75,2419.75,,1477.7325,10249.9175,11085.105,10.4,100.0,24.3,0.0,0,5,1
2022-01-01 01:00:00,124.7,2161.75,2161.75,,1369.115,9907.035,10805.7575,10.2,92.0,25.5,0.0,1,5,1
2022-01-01 02:00:00,134.0,1954.75,1954.75,,1403.0925,9782.305,10676.2475,10.1,28.0,25.8,0.0,2,5,1
2022-01-01 03:00:00,58.8,1706.75,1706.75,,1409.995,9589.525,10643.9175,10.0,39.0,25.0,0.0,3,5,1
2022-01-01 04:00:00,37.67,1461.75,1461.75,,1292.75,9507.8375,10802.4,10.1,100.0,24.2,0.0,4,5,1
2022-01-01 05:00:00,39.7,1316.5,1316.5,,1218.685,9690.67,11163.125,10.8,100.0,24.5,0.0,5,5,1
2022-01-01 06:00:00,40.59,1240.25,1240.25,,1016.31,9921.785,11867.2625,11.5,100.0,23.0,0.0,6,5,1
2022-01-01 07:00:00,43.26,1395.75,1395.75,,1114.4650000000001,10158.0975,12739.4925,11.6,100.0,23.4,0.0,7,5,1
2022-01-01 08:00:00,49.66,1658.5,1658.5,,1200.3125,10361.44,13269.182499999999,11.4,100.0,22.7,0.0,8,5,1
2022-01-01 09:00:00,70.05,1855.75,1855.75,,1300.6575,10662.9125,13158.5625,11.2,100.0,23.7,27.0,9,5,1
2022-01-01 10:00:00,76.79,1898.5,1898.5,,1382.2725,10668.535,12901.69,11.7,100.0,25.4,76.0,10,5,1
2022-01-01 11:00:00,84.1,1990.0,1990.0,,1422.4325,10542.21,12721.5575,12.4,98.0,27.0,129.0,11,5,1
2022-01-01 12:00:00,94.74,2046.5,2046.5,,1516.3400000000001,10736.45,12621.56,12.6,100.0,26.0,180.0,12,5,1
2022-01-01 13:00:00,96.8,2152.0,2152.0,,1549.1875,11002.0725,12730.79,12.8,100.0,24.5,142.0,13,5,1
2022-01-01 14:00:00,97.17,2260.75,2260.75,,1577.7375,11387.314999999999,13133.7575,12.9,100.0,27.1,89.0,14,5,1
2022-01-01 15:00:00,101.27,2390.25,2390.25,,1635.49,11854.35,13844.497500000001,12.9,99.0,25.8,43.0,15,5,1
2022-01-01 16:00:00,126.6,2472.5,2472.5,,1747.1375,12874.6325,14728.442500000001,12.6,100.0,24.5,6.0,16,5,1
2022-01-01 17:00:00,149.97,2603.25,2603.25,,1795.1125,12939.8575,14577.465,12.4,100.0,25.4,0.0,17,5,1
2022-01-01 18:00:00,146.33,2708.75,2708.75,,1799.1975,12594.2075,13936.135,12.2,100.0,24.4,0.0,18,5,1
2022-01-01 19:00:00,140.28,2670.25,2670.25,,1721.1475,12135.3475,13413.425,12.0,100.0,25.0,0.0,19,5,1
2022-01-01 20:00:00,121.88,2552.25,2552.25,,1592.49,11605.7625,12863.7925,11.6,100.0,23.8,0.0,20,5,1
2022-01-01 21:00:00,102.61,2563.5,2563.5,,1463.005,11167.0425,12398.995,11.8,100.0,25.4,0.0,21,5,1
2022-01-01 22:00:00,97.46,2634.75,2634.75,,1391.2,10655.157500000001,11811.065,11.4,100.0,26.4,0.0,22,5,1
2022-01-01 23:00:00,57.08,2272.5,2272.5,,1425.1325,10353.5875,11287.205,10.9,100.0,26.6,0.0,23,5,1
2022-01-02 00:00:00,52.59,2321.0,2321.0,,1629.1775,9981.4275,10800.045,11.3,100.0,22.1,0.0,0,6,1
2022-01-02 01:00:00,48.97,2444.75,2444.75,,1637.4975,9700.78,10536.3675,11.9,100.0,28.0,0.0,1,6,1
2022-01-02 02:00:00,34.94,2555.0,2555.0,,1542.6275,9585.0625,10382.18,12.6,100.0,35.7,0.0,2,6,1
2022-01-02 03:00:00,29.56,2579.75,2579.75,,1620.4924999999998,9559.485,10369.529999999999,12.2,100.0,34.2,0.0,3,6,1
2022-01-02 04:00:00,33.97,2680.25,2680.25,,1761.0125,9675.8525,10502.682499999999,11.8,100.0,34.2,0.0,4,6,1
2022-01-02 05:00:00,34.52,2891.75,2891.75,,1778.42,9976.494999999999,10734.965,11.6,100.0,28.1,0.0,5,6,1
2022-01-02 06:00:00,41.8,3084.25,3084.25,,1813.28,10409.8325,11170.515,11.5,100.0,31.0,0.0,6,6,1
2022-01-02 07:00:00,48.95,3241.25,3241.25,,1914.0,11033.970000000001,11869.9675,11.2,100.0,31.6,0.0,7,6,1
