"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 00:15","BZN|NL","10829.00","11406.26"
"01/01/2018 00:15 - 01/01/2018 00:30","BZN|NL","10818.00","11469.61"
"01/01/2018 00:30 - 01/01/2018 00:45","BZN|NL","10850.00","11512.43"
"01/01/2018 00:45 - 01/01/2018 01:00","BZN|NL","10795.00","11453.21"
"01/01/2018 01:00 - 01/01/2018 01:15","BZN|NL","10763.00","11271.85"
"01/01/2018 01:15 - 01/01/2018 01:30","BZN|NL","10774.00","11081.10"
"01/01/2018 01:30 - 01/01/2018 01:45","BZN|NL","10652.00","10966.68"
"01/01/2018 01:45 - 01/01/2018 02:00","BZN|NL","10570.00","10871.12"
"01/01/2018 02:00 - 01/01/2018 02:15","BZN|NL","10475.00","10772.17"
"01/01/2018 02:15 - 01/01/2018 02:30","BZN|NL","10400.00","10771.08"
"01/01/2018 02:30 - 01/01/2018 02:45","BZN|NL","10320.00","10686.98"
"01/01/2018 02:45 - 01/01/2018 03:00","BZN|NL","10220.00","10614.30"
"01/01/2018 03:00 - 01/01/2018 03:15","BZN|NL","10167.00","10581.09"
"01/01/2018 03:15 - 01/01/2018 03:30","BZN|NL","10093.00","10571.07"
"01/01/2018 03:30 - 01/01/2018 03:45","BZN|NL","9984.00","10596.25"
"01/01/2018 03:45 - 01/01/2018 04:00","BZN|NL","9885.00","10561.01"
"01/01/2018 04:00 - 01/01/2018 04:15","BZN|NL","9805.00","10555.15"
"01/01/2018 04:15 - 01/01/2018 04:30","BZN|NL","9782.00","10633.72"
"01/01/2018 04:30 - 01/01/2018 04:45","BZN|NL","9745.00","10672.47"
"01/01/2018 04:45 - 01/01/2018 05:00","BZN|NL","9733.00","10754.27"
"01/01/2018 05:00 - 01/01/2018 05:15","BZN|NL","9729.00","10828.56"
"01/01/2018 05:15 - 01/01/2018 05:30","BZN|NL","9714.00","10952.49"
"01/01/2018 05:30 - 01/01/2018 05:45","BZN|NL","9782.00","11170.10"
"01/01/2018 05:45 - 01/01/2018 06:00","BZN|NL","9848.00","11390.01"
"01/01/2018 06:00 - 01/01/2018 06:15","BZN|NL","9969.00","11629.85"
"01/01/2018 06:15 - 01/01/2018 06:30","BZN|NL","10063.00","12068.89"
"01/01/2018 06:30 - 01/01/2018 06:45","BZN|NL","10094.00","12495.52"
"01/01/2018 06:45 - 01/01/2018 07:00","BZN|NL","10153.00","12870.55"
"01/01/2018 07:00 - 01/01/2018 07:15","BZN|NL","10293.00","13309.28"
"01/01/2018 07:15 - 01/01/2018 07:30","BZN|NL","10355.00","13915.77"
"01/01/2018 07:30 - 01/01/2018 07:45","BZN|NL","10445.00","14351.27"
"01/01/2018 07:45 - 01/01/2018 08:00","BZN|NL","10542.00","15013.96"
"01/01/2018 08:00 - 01/01/2018 08:15","BZN|NL","10625.00","15419.80"
"01/01/2018 08:15 - 01/01/2018 08:30","BZN|NL","10751.00","15838.90"
"01/01/2018 08:30 - 01/01/2018 08:45","BZN|NL","10716.00","16159.68"
"01/01/2018 08:45 - 01/01/2018 09:00","BZN|NL","10681.00","16311.38"
"01/01/2018 09:00 - 01/01/2018 09:15","BZN|NL","10818.00","16533.69"
"01/01/2018 09:15 - 01/01/2018 09:30","BZN|NL","11011.00","16727.23"
"01/01/2018 09:30 - 01/01/2018 09:45","BZN|NL","11121.00","16925.78"
"01/01/2018 09:45 - 01/01/2018 10:00","BZN|NL","11251.00","17051.95"
"01/01/2018 10:00 - 01/01/2018 10:15","BZN|NL","11383.00","17117.99"
"01/01/2018 10:15 - 01/01/2018 10:30","BZN|NL","11502.00","17163.73"
"01/01/2018 10:30 - 01/01/2018 10:45","BZN|NL","11576.00","17198.69"
"01/01/2018 10:45 - 01/01/2018 11:00","BZN|NL","11695.00","17231.65"
"01/01/2018 11:00 - 01/01/2018 11:15","BZN|NL","11735.00","17245.31"
"01/01/2018 11:15 - 01/01/2018 11:30","BZN|NL","11875.00","17252.82"
"01/01/2018 11:30 - 01/01/2018 11:45","BZN|NL","11946.00","17274.11"
"01/01/2018 11:45 - 01/01/2018 12:00","BZN|NL","12004.00","17290.12"
"01/01/2018 12:00 - 01/01/2018 12:15","BZN|NL","12084.00","17294.48"
"01/01/2018 12:15 - 01/01/2018 12:30","BZN|NL","12212.00","17260.02"
"01/01/2018 12:30 - 01/01/2018 12:45","BZN|NL","12233.00","17208.05"
"01/01/2018 12:45 - 01/01/2018 13:00","BZN|NL","12313.00","17108.24"
"01/01/2018 13:00 - 01/01/2018 13:15","BZN|NL","12351.00","17158.85"
"01/01/2018 13:15 - 01/01/2018 13:30","BZN|NL","12385.00","17168.25"
"01/01/2018 13:30 - 01/01/2018 13:45","BZN|NL","12430.00","17168.12"
"01/01/2018 13:45 - 01/01/2018 14:00","BZN|NL","12404.00","17167.97"
"01/01/2018 14:00 - 01/01/2018 14:15","BZN|NL","12448.00","17173.65"
"01/01/2018 14:15 - 01/01/2018 14:30","BZN|NL","12501.00","17209.04"
"01/01/2018 14:30 - 01/01/2018 14:45","BZN|NL","12503.00","17215.53"
"01/01/2018 14:45 - 01/01/2018 15:00","BZN|NL","12550.00","17213.62"
"01/01/2018 15:00 - 01/01/2018 15:15","BZN|NL","12552.00","17208.91"
"01/01/2018 15:15 - 01/01/2018 15:30","BZN|NL","12571.00","17176.63"
"01/01/2018 15:30 - 01/01/2018 15:45","BZN|NL","12634.00","17157.39"
"01/01/2018 15:45 - 01/01/2018 16:00","BZN|NL","12690.00","17216.19"
"01/01/2018 16:00 - 01/01/2018 16:15","BZN|NL","12756.00","17135.01"
"01/01/2018 16:15 - 01/01/2018 16:30","BZN|NL","12959.00","17103.98"
"01/01/2018 16:30 - 01/01/2018 16:45","BZN|NL","13191.00","17303.75"
"01/01/2018 16:45 - 01/01/2018 17:00","BZN|NL","13620.00","17598.33"
"01/01/2018 17:00 - 01/01/2018 17:15","BZN|NL","13781.00","17813.84"
"01/01/2018 17:15 - 01/01/2018 17:30","BZN|NL","14064.00","17689.72"
"01/01/2018 17:30 - 01/01/2018 17:45","BZN|NL","14239.00","17731.71"
"01/01/2018 17:45 - 01/01/2018 18:00","BZN|NL","14308.00","17655.71"
"01/01/2018 18:00 - 01/01/2018 18:15","BZN|NL","14094.00","17352.51"
"01/01/2018 18:15 - 01/01/2018 18:30","BZN|NL","14073.00","16846.64"
"01/01/2018 18:30 - 01/01/2018 18:45","BZN|NL","13976.00","16613.90"
"01/01/2018 18:45 - 01/01/2018 19:00","BZN|NL","13942.00","16511.97"
"01/01/2018 19:00 - 01/01/2018 19:15","BZN|NL","13862.00","16357.99"
"01/01/2018 19:15 - 01/01/2018 19:30","BZN|NL","13790.00","16190.89"
"01/01/2018 19:30 - 01/01/2018 19:45","BZN|NL","13698.00","16053.41"
"01/01/2018 19:45 - 01/01/2018 20:00","BZN|NL","13632.00","15910.50"
"01/01/2018 20:00 - 01/01/2018 20:15","BZN|NL","13495.00","15750.96"
"01/01/2018 20:15 - 01/01/2018 20:30","BZN|NL","13423.00","15581.73"
"01/01/2018 20:30 - 01/01/2018 20:45","BZN|NL","13182.00","15375.86"
"01/01/2018 20:45 - 01/01/2018 21:00","BZN|NL","13036.00","15173.44"
"01/01/2018 21:00 - 01/01/2018 21:15","BZN|NL","12828.00","14933.89"
"01/01/2018 21:15 - 01/01/2018 21:30","BZN|NL","12743.00","14781.54"
"01/01/2018 21:30 - 01/01/2018 21:45","BZN|NL","12626.00","14616.39"
"01/01/2018 21:45 - 01/01/2018 22:00","BZN|NL","12415.00","14366.23"
"01/01/2018 22:00 - 01/01/2018 22:15","BZN|NL","12238.00","14064.42"
"01/01/2018 22:15 - 01/01/2018 22:30","BZN|NL","12065.00","13801.48"
"01/01/2018 22:30 - 01/01/2018 22:45","BZN|NL","11829.00","13485.64"
"01/01/2018 22:45 - 01/01/2018 23:00","BZN|NL","11631.00","13185.71"
"01/01/2018 23:00 - 01/01/2018 23:15","BZN|NL","11441.00","12976.83"
"01/01/2018 23:15 - 01/01/2018 23:30","BZN|NL","11312.00","12832.20"
"01/01/2018 23:30 - 01/01/2018 23:45","BZN|NL","11047.00","12665.68"
"01/01/2018 23:45 - 02/01/2018 00:00","BZN|NL","10834.00","12305.29"
"02/01/2018 00:00 - 02/01/2018 00:15","BZN|NL","10740.00","12055.59"
"02/01/2018 00:15 - 02/01/2018 00:30","BZN|NL","10628.00","12019.98"
"02/01/2018 00:30 - 02/01/2018 00:45","BZN|NL","10592.00","11973.94"
"02/01/2018 00:45 - 02/01/2018 01:00","BZN|NL","10464.00","11829.76"
"02/01/2018 01:00 - 02/01/2018 01:15","BZN|NL","10341.00","11585.56"
"02/01/2018 01:15 - 02/01/2018 01:30","BZN|NL","10335.00","11446.03"
"02/01/2018 01:30 - 02/01/2018 01:45","BZN|NL","10197.00","11390.63"
"02/01/2018 01:45 - 02/01/2018 02:00","BZN|NL","10100.00","11294.57"
"02/01/2018 02:00 - 02/01/2018 02:15","BZN|NL","10076.00","11149.05"
"02/01/2018 02:15 - 02/01/2018 02:30","BZN|NL","10001.00","11044.10"
"02/01/2018 02:30 - 02/01/2018 02:45","BZN|NL","9969.00","10989.16"
"02/01/2018 02:45 - 02/01/2018 03:00","BZN|NL","9913.00","10931.13"
"02/01/2018 03:00 - 02/01/2018 03:15","BZN|NL","9935.00","10890.10"
"02/01/2018 03:15 - 02/01/2018 03:30","BZN|NL","9873.00","10910.77"
"02/01/2018 03:30 - 02/01/2018 03:45","BZN|NL","9895.00","10919.85"
"02/01/2018 03:45 - 02/01/2018 04:00","BZN|NL","9836.00","10934.76"
"02/01/2018 04:00 - 02/01/2018 04:15","BZN|NL","9893.00","10936.34"
"02/01/2018 04:15 - 02/01/2018 04:30","BZN|NL","9975.00","10965.17"
"02/01/2018 04:30 - 02/01/2018 04:45","BZN|NL","10002.00","11005.66"
"02/01/2018 04:45 - 02/01/2018 05:00","BZN|NL","10106.00","11067.22"
"02/01/2018 05:00 - 02/01/2018 05:15","BZN|NL","10219.00","11096.20"
"02/01/2018 05:15 - 02/01/2018 05:30","BZN|NL","10402.00","11287.41"
"02/01/2018 05:30 - 02/01/2018 05:45","BZN|NL","10629.00","11513.25"
"02/01/2018 05:45 - 02/01/2018 06:00","BZN|NL","10884.00","11724.88"
"02/01/2018 06:00 - 02/01/2018 06:15","BZN|NL","11370.00","11993.82"
"02/01/2018 06:15 - 02/01/2018 06:30","BZN|NL","11709.00","12457.77"
"02/01/2018 06:30 - 02/01/2018 06:45","BZN|NL","12066.00","12783.44"
"02/01/2018 06:45 - 02/01/2018 07:00","BZN|NL","12399.00","13234.42"
"02/01/2018 07:00 - 02/01/2018 07:15","BZN|NL","12810.00","13640.52"
"02/01/2018 07:15 - 02/01/2018 07:30","BZN|NL","13260.00","14226.87"
"02/01/2018 07:30 - 02/01/2018 07:45","BZN|NL","13732.00","14988.47"
"02/01/2018 07:45 - 02/01/2018 08:00","BZN|NL","14147.00","15498.34"
"02/01/2018 08:00 - 02/01/2018 08:15","BZN|NL","14553.00","15863.98"
"02/01/2018 08:15 - 02/01/2018 08:30","BZN|NL","14876.00","16233.58"
"02/01/2018 08:30 - 02/01/2018 08:45","BZN|NL","15144.00","16602.97"
"02/01/2018 08:45 - 02/01/2018 09:00","BZN|NL","15318.00","16770.14"
"02/01/2018 09:00 - 02/01/2018 09:15","BZN|NL","15546.00","16886.49"
"02/01/2018 09:15 - 02/01/2018 09:30","BZN|NL","15767.00","17021.44"
"02/01/2018 09:30 - 02/01/2018 09:45","BZN|NL","15898.00","17160.93"
"02/01/2018 09:45 - 02/01/2018 10:00","BZN|NL","16007.00","17275.34"
"02/01/2018 10:00 - 02/01/2018 10:15","BZN|NL","16087.00","17318.28"
"02/01/2018 10:15 - 02/01/2018 10:30","BZN|NL","16020.00","17371.76"
"02/01/2018 10:30 - 02/01/2018 10:45","BZN|NL","16044.00","17402.03"
"02/01/2018 10:45 - 02/01/2018 11:00","BZN|NL","16065.00","17402.29"
"02/01/2018 11:00 - 02/01/2018 11:15","BZN|NL","16055.00","17382.74"
"02/01/2018 11:15 - 02/01/2018 11:30","BZN|NL","16076.00","17375.96"
"02/01/2018 11:30 - 02/01/2018 11:45","BZN|NL","16097.00","15116.06"
"02/01/2018 11:45 - 02/01/2018 12:00","BZN|NL","16141.00","17319.34"
"02/01/2018 12:00 - 02/01/2018 12:15","BZN|NL","16123.00","17309.10"
"02/01/2018 12:15 - 02/01/2018 12:30","BZN|NL","16125.00","17284.66"
"02/01/2018 12:30 - 02/01/2018 12:45","BZN|NL","16048.00","17238.54"
"02/01/2018 12:45 - 02/01/2018 13:00","BZN|NL","16012.00","17104.52"
"02/01/2018 13:00 - 02/01/2018 13:15","BZN|NL","16090.00","17103.54"
"02/01/2018 13:15 - 02/01/2018 13:30","BZN|NL","16169.00","17156.65"
"02/01/2018 13:30 - 02/01/2018 13:45","BZN|NL","16231.00","17155.57"
"02/01/2018 13:45 - 02/01/2018 14:00","BZN|NL","16227.00","17098.46"
"02/01/2018 14:00 - 02/01/2018 14:15","BZN|NL","16230.00","17085.69"
"02/01/2018 14:15 - 02/01/2018 14:30","BZN|NL","16305.00","17074.12"
"02/01/2018 14:30 - 02/01/2018 14:45","BZN|NL","16258.00","17086.02"
"02/01/2018 14:45 - 02/01/2018 15:00","BZN|NL","16278.00","17110.14"
"02/01/2018 15:00 - 02/01/2018 15:15","BZN|NL","16298.00","17131.19"
"02/01/2018 15:15 - 02/01/2018 15:30","BZN|NL","16246.00","17150.07"
"02/01/2018 15:30 - 02/01/2018 15:45","BZN|NL","16274.00","17278.67"
"02/01/2018 15:45 - 02/01/2018 16:00","BZN|NL","16374.00","17389.26"
"02/01/2018 16:00 - 02/01/2018 16:15","BZN|NL","16440.00","17416.06"
"02/01/2018 16:15 - 02/01/2018 16:30","BZN|NL","16591.00","17393.79"
"02/01/2018 16:30 - 02/01/2018 16:45","BZN|NL","16800.00","17574.49"
"02/01/2018 16:45 - 02/01/2018 17:00","BZN|NL","17260.00","17950.42"
"02/01/2018 17:00 - 02/01/2018 17:15","BZN|NL","17463.00","18306.83"
"02/01/2018 17:15 - 02/01/2018 17:30","BZN|NL","17699.00","18300.12"
"02/01/2018 17:30 - 02/01/2018 17:45","BZN|NL","17730.00","18379.85"
"02/01/2018 17:45 - 02/01/2018 18:00","BZN|NL","17645.00","18399.51"
"02/01/2018 18:00 - 02/01/2018 18:15","BZN|NL","17155.00","18282.43"
"02/01/2018 18:15 - 02/01/2018 18:30","BZN|NL","16868.00","17476.87"
"02/01/2018 18:30 - 02/01/2018 18:45","BZN|NL","16672.00","17183.40"
"02/01/2018 18:45 - 02/01/2018 19:00","BZN|NL","16586.00","17032.67"
"02/01/2018 19:00 - 02/01/2018 19:15","BZN|NL","16380.00","16875.19"
"02/01/2018 19:15 - 02/01/2018 19:30","BZN|NL","16189.00","16577.15"
"02/01/2018 19:30 - 02/01/2018 19:45","BZN|NL","16061.00","16362.36"
"02/01/2018 19:45 - 02/01/2018 20:00","BZN|NL","15967.00","16175.61"
"02/01/2018 20:00 - 02/01/2018 20:15","BZN|NL","15741.00","16026.71"
"02/01/2018 20:15 - 02/01/2018 20:30","BZN|NL","15506.00","15867.85"
"02/01/2018 20:30 - 02/01/2018 20:45","BZN|NL","15245.00","15728.61"
"02/01/2018 20:45 - 02/01/2018 21:00","BZN|NL","14924.00","15503.90"
"02/01/2018 21:00 - 02/01/2018 21:15","BZN|NL","14687.00","15341.75"
"02/01/2018 21:15 - 02/01/2018 21:30","BZN|NL","14562.00","15297.75"
"02/01/2018 21:30 - 02/01/2018 21:45","BZN|NL","14284.00","15048.30"
"02/01/2018 21:45 - 02/01/2018 22:00","BZN|NL","14087.00","14770.71"
"02/01/2018 22:00 - 02/01/2018 22:15","BZN|NL","13834.00","14496.07"
"02/01/2018 22:15 - 02/01/2018 22:30","BZN|NL","13597.00","14147.68"
"02/01/2018 22:30 - 02/01/2018 22:45","BZN|NL","13236.00","13796.83"
"02/01/2018 22:45 - 02/01/2018 23:00","BZN|NL","13002.00","13467.00"
"02/01/2018 23:00 - 02/01/2018 23:15","BZN|NL","12812.00","13179.69"
"02/01/2018 23:15 - 02/01/2018 23:30","BZN|NL","12634.00","13023.29"
"02/01/2018 23:30 - 02/01/2018 23:45","BZN|NL","12436.00","12785.51"
"02/01/2018 23:45 - 03/01/2018 00:00","BZN|NL","12189.00","12454.63"
"03/01/2018 00:00 - 03/01/2018 00:15","BZN|NL","11952.00","12225.42"
"03/01/2018 00:15 - 03/01/2018 00:30","BZN|NL","11800.00","12265.55"
"03/01/2018 00:30 - 03/01/2018 00:45","BZN|NL","11623.00","12183.90"
"03/01/2018 00:45 - 03/01/2018 01:00","BZN|NL","11498.00","12010.21"
"03/01/2018 01:00 - 03/01/2018 01:15","BZN|NL","11327.00","11798.61"
"03/01/2018 01:15 - 03/01/2018 01:30","BZN|NL","11253.00","11570.63"
"03/01/2018 01:30 - 03/01/2018 01:45","BZN|NL","11163.00","11448.23"
"03/01/2018 01:45 - 03/01/2018 02:00","BZN|NL","11027.00","11301.79"
"03/01/2018 02:00 - 03/01/2018 02:15","BZN|NL","10992.00","11141.49"
"03/01/2018 02:15 - 03/01/2018 02:30","BZN|NL","10959.00","10990.63"
"03/01/2018 02:30 - 03/01/2018 02:45","BZN|NL","10892.00","10889.86"
"03/01/2018 02:45 - 03/01/2018 03:00","BZN|NL","10860.00","10805.68"
"03/01/2018 03:00 - 03/01/2018 03:15","BZN|NL","10904.00","10767.10"
"03/01/2018 03:15 - 03/01/2018 03:30","BZN|NL","10875.00","10722.20"
"03/01/2018 03:30 - 03/01/2018 03:45","BZN|NL","10850.00","10705.43"
"03/01/2018 03:45 - 03/01/2018 04:00","BZN|NL","10841.00","10673.63"
"03/01/2018 04:00 - 03/01/2018 04:15","BZN|NL","10892.00","10707.49"
"03/01/2018 04:15 - 03/01/2018 04:30","BZN|NL","10916.00","10835.50"
"03/01/2018 04:30 - 03/01/2018 04:45","BZN|NL","10924.00","10887.64"
"03/01/2018 04:45 - 03/01/2018 05:00","BZN|NL","10974.00","10933.04"
"03/01/2018 05:00 - 03/01/2018 05:15","BZN|NL","11080.00","11003.50"
"03/01/2018 05:15 - 03/01/2018 05:30","BZN|NL","11277.00","11172.37"
"03/01/2018 05:30 - 03/01/2018 05:45","BZN|NL","11441.00","11417.25"
"03/01/2018 05:45 - 03/01/2018 06:00","BZN|NL","11674.00","11664.23"
"03/01/2018 06:00 - 03/01/2018 06:15","BZN|NL","12167.00","11982.27"
"03/01/2018 06:15 - 03/01/2018 06:30","BZN|NL","12526.00","12544.89"
"03/01/2018 06:30 - 03/01/2018 06:45","BZN|NL","12921.00","13095.06"
"03/01/2018 06:45 - 03/01/2018 07:00","BZN|NL","13278.00","13513.21"
"03/01/2018 07:00 - 03/01/2018 07:15","BZN|NL","13740.00","14035.52"
"03/01/2018 07:15 - 03/01/2018 07:30","BZN|NL","14250.00","14723.85"
"03/01/2018 07:30 - 03/01/2018 07:45","BZN|NL","14690.00","15412.23"
"03/01/2018 07:45 - 03/01/2018 08:00","BZN|NL","15049.00","16072.86"
"03/01/2018 08:00 - 03/01/2018 08:15","BZN|NL","15508.00","16607.29"
"03/01/2018 08:15 - 03/01/2018 08:30","BZN|NL","15863.00","17119.58"
"03/01/2018 08:30 - 03/01/2018 08:45","BZN|NL","16002.00","17524.40"
"03/01/2018 08:45 - 03/01/2018 09:00","BZN|NL","16152.00","17730.13"
"03/01/2018 09:00 - 03/01/2018 09:15","BZN|NL","16346.00","17942.70"
"03/01/2018 09:15 - 03/01/2018 09:30","BZN|NL","16483.00","18205.31"
"03/01/2018 09:30 - 03/01/2018 09:45","BZN|NL","16569.00","18458.34"
"03/01/2018 09:45 - 03/01/2018 10:00","BZN|NL","16718.00","18568.07"
"03/01/2018 10:00 - 03/01/2018 10:15","BZN|NL","16814.00","18654.02"
"03/01/2018 10:15 - 03/01/2018 10:30","BZN|NL","16939.00","18751.51"
"03/01/2018 10:30 - 03/01/2018 10:45","BZN|NL","17021.00","18845.06"
"03/01/2018 10:45 - 03/01/2018 11:00","BZN|NL","17083.00","18873.36"
"03/01/2018 11:00 - 03/01/2018 11:15","BZN|NL","17219.00","18874.79"
"03/01/2018 11:15 - 03/01/2018 11:30","BZN|NL","17201.00","19043.61"
"03/01/2018 11:30 - 03/01/2018 11:45","BZN|NL","17222.00","19061.23"
"03/01/2018 11:45 - 03/01/2018 12:00","BZN|NL","17232.00","19042.64"
"03/01/2018 12:00 - 03/01/2018 12:15","BZN|NL","17193.00","19020.93"
"03/01/2018 12:15 - 03/01/2018 12:30","BZN|NL","17159.00","18949.92"
"03/01/2018 12:30 - 03/01/2018 12:45","BZN|NL","17089.00","18864.92"
"03/01/2018 12:45 - 03/01/2018 13:00","BZN|NL","17078.00","18843.33"
"03/01/2018 13:00 - 03/01/2018 13:15","BZN|NL","17155.00","18899.42"
"03/01/2018 13:15 - 03/01/2018 13:30","BZN|NL","17159.00","18973.88"
"03/01/2018 13:30 - 03/01/2018 13:45","BZN|NL","17129.00","19070.73"
"03/01/2018 13:45 - 03/01/2018 14:00","BZN|NL","17129.00","19025.57"
"03/01/2018 14:00 - 03/01/2018 14:15","BZN|NL","17115.00","19046.90"
"03/01/2018 14:15 - 03/01/2018 14:30","BZN|NL","17005.00","19068.49"
"03/01/2018 14:30 - 03/01/2018 14:45","BZN|NL","16985.00","18980.73"
"03/01/2018 14:45 - 03/01/2018 15:00","BZN|NL","16946.00","18929.29"
"03/01/2018 15:00 - 03/01/2018 15:15","BZN|NL","16876.00","19066.83"
"03/01/2018 15:15 - 03/01/2018 15:30","BZN|NL","16927.00","19010.54"
"03/01/2018 15:30 - 03/01/2018 15:45","BZN|NL","16960.00","19046.98"
"03/01/2018 15:45 - 03/01/2018 16:00","BZN|NL","16955.00","19089.70"
