feature,lag_hours,correlation
temperature_2m,0,-0.029298702183186257
temperature_2m,1,-0.019560938543464464
temperature_2m,2,-0.00831517836067761
temperature_2m,3,0.002476958789228412
temperature_2m,4,0.011329298140417965
temperature_2m,5,0.016947186690456827
temperature_2m,6,0.01850561490315816
temperature_2m,7,0.015790083415679074
temperature_2m,8,0.00947352117224374
temperature_2m,9,0.000986722637797683
temperature_2m,10,-0.008107357187175066
temperature_2m,11,-0.016229610932067505
temperature_2m,12,-0.022200539453565503
temperature_2m,13,-0.025695730497312105
temperature_2m,14,-0.027001786755340956
temperature_2m,15,-0.026714806580288596
temperature_2m,16,-0.02571193580262466
temperature_2m,17,-0.02471131261999565
temperature_2m,18,-0.02427795248954813
temperature_2m,19,-0.02451260232510263
temperature_2m,20,-0.025206031008467873
temperature_2m,21,-0.02578071819919524
temperature_2m,22,-0.025228021555989667
temperature_2m,23,-0.02231993611390802
temperature_2m,24,-0.016156058945870057
temperature_2m,25,-0.00698350227458269
temperature_2m,26,0.0036210963199525695
temperature_2m,27,0.013828066904785219
temperature_2m,28,0.022227768657222743
temperature_2m,29,0.027532171584642065
temperature_2m,30,0.02888886117799776
temperature_2m,31,0.02609032725950758
temperature_2m,32,0.019794516996083224
temperature_2m,33,0.011346662708633166
temperature_2m,34,0.0022824638379280978
temperature_2m,35,-0.005773254647530572
temperature_2m,36,-0.011728886985778612
temperature_2m,37,-0.015236485976698726
temperature_2m,38,-0.01658966013482534
temperature_2m,39,-0.016364984754874058
temperature_2m,40,-0.015438309969567724
temperature_2m,41,-0.014562327940867698
temperature_2m,42,-0.01430656138560094
temperature_2m,43,-0.014818796712074997
temperature_2m,44,-0.015874685697070835
temperature_2m,45,-0.016925826300924582
temperature_2m,46,-0.016903413010995606
temperature_2m,47,-0.014634533185450655
temperature_2m,48,-0.00913227720556095
cloud_cover,0,-0.0007150264979177397
cloud_cover,1,0.003692323976499126
cloud_cover,2,0.008175675394027583
cloud_cover,3,0.011481732039299027
cloud_cover,4,0.012736779595272947
cloud_cover,5,0.011860100800530671
cloud_cover,6,0.009623051162264537
cloud_cover,7,0.0067099406364322855
cloud_cover,8,0.0034293657345618035
cloud_cover,9,0.0006201317961278354
cloud_cover,10,-0.0010313603484999728
cloud_cover,11,-0.0015854738661269096
cloud_cover,12,-0.0011238970704575606
cloud_cover,13,-0.0002819421378601992
cloud_cover,14,0.0006370208420754646
cloud_cover,15,0.0009096252556064003
cloud_cover,16,-0.0002268464261911079
cloud_cover,17,-0.002952717282292554
cloud_cover,18,-0.00699608992248807
cloud_cover,19,-0.011492580519408942
cloud_cover,20,-0.01530099937515351
cloud_cover,21,-0.01771848107466571
cloud_cover,22,-0.018037380166864073
cloud_cover,23,-0.0157271670653704
cloud_cover,24,-0.011287182782569545
cloud_cover,25,-0.0056670414047217165
cloud_cover,26,0.00020478919000843477
cloud_cover,27,0.0047941624204419706
cloud_cover,28,0.006487366655591951
cloud_cover,29,0.0061092718405232425
cloud_cover,30,0.004554190977981653
cloud_cover,31,0.002258945666901358
cloud_cover,32,1.2486317524232427e-05
cloud_cover,33,-0.0017925166526279203
cloud_cover,34,-0.003097720940321828
cloud_cover,35,-0.003312153928066184
cloud_cover,36,-0.002429402987864327
cloud_cover,37,-0.0011351093983733294
cloud_cover,38,0.00014055062254047696
cloud_cover,39,0.0006865563720096952
cloud_cover,40,-0.0005614360600807325
cloud_cover,41,-0.0033715890987203356
cloud_cover,42,-0.0073149724574415815
cloud_cover,43,-0.011623679231156587
cloud_cover,44,-0.015330138974669194
cloud_cover,45,-0.01761918499751554
cloud_cover,46,-0.01782730493922596
cloud_cover,47,-0.015746940145745354
cloud_cover,48,-0.01178497508852747
wind_speed_10m,0,-0.19194629879104494
wind_speed_10m,1,-0.18339370205894248
wind_speed_10m,2,-0.17179155643493868
wind_speed_10m,3,-0.16014839874056933
wind_speed_10m,4,-0.150508819123582
wind_speed_10m,5,-0.14348145094096165
wind_speed_10m,6,-0.13906863599337968
wind_speed_10m,7,-0.13721098410001428
wind_speed_10m,8,-0.13760816189446884
wind_speed_10m,9,-0.13945036780890266
wind_speed_10m,10,-0.1415587619428074
wind_speed_10m,11,-0.14312198997803077
wind_speed_10m,12,-0.1434729559071413
wind_speed_10m,13,-0.1425776394770659
wind_speed_10m,14,-0.1405544200299134
wind_speed_10m,15,-0.1379198173485623
wind_speed_10m,16,-0.13527450699657123
wind_speed_10m,17,-0.13304327005495778
wind_speed_10m,18,-0.1320142826120725
wind_speed_10m,19,-0.13230540430657425
wind_speed_10m,20,-0.13367368468094193
wind_speed_10m,21,-0.13506582112484075
