model,variable,coefficient,p_value,ci_low,ci_high
Multiple OLS B: price ~ weather + production + calendar,const,217.25140985592407,0.0,213.40186749504832,221.1009522167998
Multiple OLS B: price ~ weather + production + calendar,temperature_2m,-0.07375036361375173,0.11554705240989173,-0.16560058281216253,0.01809985558465907
Multiple OLS B: price ~ weather + production + calendar,cloud_cover,-3.8818298048818716,7.595472040787187e-07,-5.420170219138865,-2.343489390624878
Multiple OLS B: price ~ weather + production + calendar,wind_speed_10m,-5.533704378585309,0.0,-5.653458144891937,-5.413950612278681
Multiple OLS B: price ~ weather + production + calendar,shortwave_radiation,-0.12435739467610504,0.0,-0.12878261283567133,-0.11993217651653877
Multiple OLS B: price ~ weather + production + calendar,total_load,-0.005652250780705034,0.0,-0.005885130747282079,-0.005419370814127989
Multiple OLS B: price ~ weather + production + calendar,generation_forecast,0.023455328019732512,0.0,0.022699496033008457,0.024211160006456567
Multiple OLS B: price ~ weather + production + calendar,hour_sin,-13.893063975991998,0.0,-14.586975441582652,-13.199152510401344
Multiple OLS B: price ~ weather + production + calendar,hour_cos,-37.95084820230151,0.0,-39.01604815772152,-36.885648246881495
Multiple OLS B: price ~ weather + production + calendar,day_of_week,-0.5834226730901849,0.0022994153417204926,-0.9585084440676569,-0.20833690211271294
Multiple OLS B: price ~ weather + production + calendar,month,1.3668464797831699,2.656279139586046e-78,1.223968789846619,1.5097241697197208
Multiple OLS B: price ~ weather + production + calendar,is_weekend,-23.62171055498681,4.490320002817996e-162,-25.32504304403652,-21.918378065937098
