model,variable,coefficient,p_value,ci_low,ci_high
Simple OLS: price ~ temperature_2m,const,80.49119035828416,0.0,79.52097191354885,81.46140880301947
Simple OLS: price ~ temperature_2m,temperature_2m,-0.34911946140801253,9.404408931753161e-20,-0.42433380853644337,-0.2739051142795817
Simple OLS: price ~ cloud_cover,const,76.74232517045928,0.0,75.58829660475463,77.89635373616393
Simple OLS: price ~ cloud_cover,cloud_cover,-0.176292453988415,0.8243695287883887,-1.733236383110671,1.380651475133841
Simple OLS: price ~ wind_speed_10m,const,108.8462028786204,0.0,107.69695907695382,109.99544668028699
Simple OLS: price ~ wind_speed_10m,wind_speed_10m,-2.259725152274508,0.0,-2.3326853211822067,-2.1867649833668095
Simple OLS: price ~ shortwave_radiation,const,81.98100074953767,0.0,81.38836695988546,82.57363453918988
Simple OLS: price ~ shortwave_radiation,shortwave_radiation,-0.04148973562173993,2.691459751903688e-226,-0.04401505827457863,-0.03896441296890123
Simple OLS: price ~ total_load,const,83.28822420570219,0.0,80.79396844323892,85.78247996816546
Simple OLS: price ~ total_load,total_load,-0.0005471376164802589,9.254203583756589e-08,-0.0007479133779128209,-0.0003463618550476969
Simple OLS: price ~ generation_forecast,const,78.61645927041772,0.0,77.88887831585555,79.34404022497989
Simple OLS: price ~ generation_forecast,generation_forecast,-0.0017323619827730465,9.999438478991677e-13,-0.0022084779804002774,-0.0012562459851458156
