model_features,feature_list,model_pvalue,r2,adj_r2,explained_variance,nobs,feature_effects,interpretation_note,summary_path
wind_speed_10m + generation_forecast,"wind_speed_10m, generation_forecast",0.0,0.0797,0.0796,0.0797,96133,"wind_speed_10m: price falls when the variable rises (significant, coef=-5.3764, p=0) | generation_forecast: price rises when the variable rises (significant, coef=0.0253, p=0)",Overall model is statistically significant with moderate explanatory power.,regression_outputs/pair_wind_speed_10m__generation_forecast_summary.txt
wind_speed_10m + shortwave_radiation,"wind_speed_10m, shortwave_radiation",0.0,0.0461,0.0461,0.0461,96337,"wind_speed_10m: price falls when the variable rises (significant, coef=-2.2190, p=0) | shortwave_radiation: price falls when the variable rises (significant, coef=-0.0388, p=5.55e-205)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_wind_speed_10m__shortwave_radiation_summary.txt
cloud_cover + wind_speed_10m,"cloud_cover, wind_speed_10m",0.0,0.0385,0.0385,0.0385,96337,"cloud_cover: price rises when the variable rises (significant, coef=10.3051, p=3.28e-38) | wind_speed_10m: price falls when the variable rises (significant, coef=-2.3639, p=0)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_cloud_cover__wind_speed_10m_summary.txt
temperature_2m + wind_speed_10m,"temperature_2m, wind_speed_10m",0.0,0.0381,0.038,0.0381,96337,"temperature_2m: price falls when the variable rises (significant, coef=-0.4148, p=3.5e-28) | wind_speed_10m: price falls when the variable rises (significant, coef=-2.2714, p=0)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_temperature_2m__wind_speed_10m_summary.txt
wind_speed_10m + total_load,"wind_speed_10m, total_load",0.0,0.0369,0.0368,0.0369,96326,"wind_speed_10m: price falls when the variable rises (significant, coef=-2.2555, p=0) | total_load: price falls when the variable rises (not significant, coef=-0.0002, p=0.0801)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_wind_speed_10m__total_load_summary.txt
shortwave_radiation + total_load,"shortwave_radiation, total_load",1.4427981294166306e-258,0.0123,0.0122,0.0123,96326,"shortwave_radiation: price falls when the variable rises (significant, coef=-0.0450, p=5.3e-254) | total_load: price falls when the variable rises (significant, coef=-0.0013, p=1.11e-35)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_shortwave_radiation__total_load_summary.txt
shortwave_radiation + generation_forecast,"shortwave_radiation, generation_forecast",5.054012048462595e-258,0.0123,0.0122,0.0123,96133,"shortwave_radiation: price falls when the variable rises (significant, coef=-0.0441, p=1.32e-248) | generation_forecast: price falls when the variable rises (significant, coef=-0.0030, p=7.01e-35)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_shortwave_radiation__generation_forecast_summary.txt
temperature_2m + shortwave_radiation,"temperature_2m, shortwave_radiation",6.639588162949627e-245,0.0116,0.0116,0.0116,96337,"temperature_2m: price rises when the variable rises (significant, coef=0.4365, p=5e-22) | shortwave_radiation: price falls when the variable rises (significant, coef=-0.0494, p=1.52e-228)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_temperature_2m__shortwave_radiation_summary.txt
cloud_cover + shortwave_radiation,"cloud_cover, shortwave_radiation",3.8947624302978227e-230,0.0109,0.0109,0.0109,96337,"cloud_cover: price falls when the variable rises (significant, coef=-4.0000, p=5.5e-07) | shortwave_radiation: price falls when the variable rises (significant, coef=-0.0424, p=9.82e-232)",Overall model is statistically significant with weak explanatory power.,regression_outputs/pair_cloud_cover__shortwave_radiation_summary.txt
temperature_2m + total_load,"temperature_2m, total_load",3.160031937121078e-32,0.0015,0.0015,0.0015,96326,"temperature_2m: price falls when the variable rises (significant, coef=-0.4280, p=3.62e-27) | total_load: price falls when the variable rises (significant, coef=-0.0008, p=3.16e-15)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_temperature_2m__total_load_summary.txt
temperature_2m + generation_forecast,"temperature_2m, generation_forecast",2.1458644535858492e-33,0.0016,0.0015,0.0016,96133,"temperature_2m: price falls when the variable rises (significant, coef=-0.3854, p=1.87e-23) | generation_forecast: price falls when the variable rises (significant, coef=-0.0020, p=5.62e-16)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_temperature_2m__generation_forecast_summary.txt
temperature_2m + cloud_cover,"temperature_2m, cloud_cover",7.753069973516902e-19,0.0009,0.0008,0.0009,96337,"temperature_2m: price falls when the variable rises (significant, coef=-0.3512, p=6.87e-20) | cloud_cover: price falls when the variable rises (not significant, coef=-0.6524, p=0.412)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_temperature_2m__cloud_cover_summary.txt
total_load + generation_forecast,"total_load, generation_forecast",1.1759168990337963e-17,0.0008,0.0008,0.0008,96133,"total_load: price falls when the variable rises (significant, coef=-0.0005, p=1.91e-07) | generation_forecast: price falls when the variable rises (significant, coef=-0.0017, p=1.73e-12)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_total_load__generation_forecast_summary.txt
cloud_cover + generation_forecast,"cloud_cover, generation_forecast",5.9468979356321535e-12,0.0005,0.0005,0.0005,96133,"cloud_cover: price rises when the variable rises (not significant, coef=0.7450, p=0.356) | generation_forecast: price falls when the variable rises (significant, coef=-0.0018, p=6.75e-13)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_cloud_cover__generation_forecast_summary.txt
cloud_cover + total_load,"cloud_cover, total_load",6.286711811929127e-07,0.0003,0.0003,0.0003,96326,"cloud_cover: price rises when the variable rises (not significant, coef=0.1499, p=0.851) | total_load: price falls when the variable rises (significant, coef=-0.0005, p=9.3e-08)",Overall model is statistically significant with very weak explanatory power.,regression_outputs/pair_cloud_cover__total_load_summary.txt
