source,gap_after,gap_before,gap_duration,missing_steps
generation_source,2015-03-29 01:00:00,2015-03-29 03:00:00,0 days 02:00:00,1
generation_source,2016-03-27 01:00:00,2016-03-27 03:00:00,0 days 02:00:00,1
generation_source,2017-03-26 01:00:00,2017-03-26 03:00:00,0 days 02:00:00,1
generation_source,2018-03-25 01:00:00,2018-03-25 03:00:00,0 days 02:00:00,1
generation_source,2019-03-31 01:00:00,2019-03-31 03:00:00,0 days 02:00:00,1
generation_source,2020-03-29 01:00:00,2020-03-29 03:00:00,0 days 02:00:00,1
generation_source,2021-03-28 01:00:00,2021-03-28 03:00:00,0 days 02:00:00,1
generation_source,2022-03-27 01:00:00,2022-03-27 03:00:00,0 days 02:00:00,1
generation_source,2023-03-26 01:00:00,2023-03-26 03:00:00,0 days 02:00:00,1
generation_source,2024-03-31 01:00:00,2024-03-31 03:00:00,0 days 02:00:00,1
generation_source,2025-03-30 01:00:00,2025-03-30 03:00:00,0 days 02:00:00,1
load_source,2015-03-29 01:00:00,2015-03-29 03:00:00,0 days 02:00:00,1
load_source,2016-03-27 01:00:00,2016-03-27 03:00:00,0 days 02:00:00,1
load_source,2017-03-26 01:00:00,2017-03-26 03:00:00,0 days 02:00:00,1
load_source,2018-03-25 01:00:00,2018-03-25 03:00:00,0 days 02:00:00,1
load_source,2019-03-31 01:00:00,2019-03-31 03:00:00,0 days 02:00:00,1
load_source,2020-03-29 01:00:00,2020-03-29 03:00:00,0 days 02:00:00,1
load_source,2021-03-28 01:00:00,2021-03-28 03:00:00,0 days 02:00:00,1
load_source,2022-03-27 01:00:00,2022-03-27 03:00:00,0 days 02:00:00,1
load_source,2023-03-26 01:00:00,2023-03-26 03:00:00,0 days 02:00:00,1
load_source,2024-03-31 01:00:00,2024-03-31 03:00:00,0 days 02:00:00,1
load_source,2025-03-30 01:00:00,2025-03-30 03:00:00,0 days 02:00:00,1
