"run_index","run_title","run_group","experiment_id","model_name","preprocess","duration_seconds","duration_hhmmss","mae","rmse"
"1","Prophet baseline","baseline","","Prophet","baseline","13440.266","03:44:00","35.705599","51.297253"
"2","Mean baseline","baseline","","Mean baseline","baseline","0.528","00:00:01","41.667505","55.593261"
"3","Zero baseline","baseline","","Zero baseline","baseline","0.457","00:00:00","87.795577","100.832967"
"4","MinMax + Mean","baseline","","MinMax + Mean","baseline","2.064","00:00:02","41.667505","55.593261"
"5","Exp1.a CNN-BiLSTM + Norm","exp1","Exp1.a","CNN-BiLSTM","Norm","86.982","00:01:27","39.738697","54.504961"
"6","Exp1.b CNN-xLSTM + Norm","exp1","Exp1.b","CNN-xLSTM","Norm","6046.787","01:40:47","36.616713","51.924452"
"7","Exp1.c CNN-BiLSTM-Tx + Norm","exp1","Exp1.c","CNN-BiLSTM-Tx","Norm","161.462","00:02:41","39.024715","52.396946"
"8","Exp1.d CNN-Tx + Norm","exp1","Exp1.d","CNN-Tx","Norm","115.023","00:01:55","35.202300","49.788010"
"9","Exp1.a CNN-BiLSTM + Wavelet","exp1","Exp1.a","CNN-BiLSTM","Wavelet","122.621","00:02:03","38.347490","51.884933"
"10","Exp1.b CNN-xLSTM + Wavelet","exp1","Exp1.b","CNN-xLSTM","Wavelet","9888.245","02:44:48","37.643475","52.044102"
"11","Exp1.c CNN-BiLSTM-Tx + Wavelet","exp1","Exp1.c","CNN-BiLSTM-Tx","Wavelet","264.856","00:04:25","37.002768","50.413288"
"12","Exp1.d CNN-Tx + Wavelet","exp1","Exp1.d","CNN-Tx","Wavelet","150.873","00:02:31","36.766987","51.588176"
"13","Exp1.a CNN-BiLSTM + Patch","exp1","Exp1.a","CNN-BiLSTM","Patch","55.398","00:00:55","42.927602","54.618952"
"14","Exp1.b CNN-xLSTM + Patch","exp1","Exp1.b","CNN-xLSTM","Patch","697.687","00:11:38","43.010114","55.008874"
"15","Exp1.c CNN-BiLSTM-Tx + Patch","exp1","Exp1.c","CNN-BiLSTM-Tx","Patch","104.384","00:01:44","40.832303","54.211177"
"16","Exp1.d CNN-Tx + Patch","exp1","Exp1.d","CNN-Tx","Patch","86.488","00:01:26","42.898806","54.757634"
"1","Exp2.a Decoder-Only Tx + Exp2 Standard","exp2","Exp2.a","Decoder-Only Tx","Exp2 Standard","172.385","00:02:52","31.805239","45.796124"
"2","Exp2.b Decoder-Only Tx + Exp2 Wavelet","exp2","Exp2.b","Decoder-Only Tx","Exp2 Wavelet","371.214","00:06:11","36.966030","50.014923"
"3","Exp2.c Encoder-Decoder Tx + Exp2 Standard","exp2","Exp2.c","Encoder-Decoder Tx","Exp2 Standard","222.780","00:03:43","30.480106","44.597015"
"4","Exp2.d Kernel Tx + Kernel","exp2","Exp2.d","Kernel Tx","Kernel","211.604","00:03:32","33.739584","48.833119"
"5","Exp2.e iTransformer + Exp2 Standard","exp2","Exp2.e","iTransformer","Exp2 Standard","452.364","00:07:32","30.210997","42.766888"
